cod_municipio;modulo_fiscal_ha;fracao_minima_parcelamento_ha;zona_tipica_modulo;zona_pecuaria;data_referencia;fonte;observacao
1500107;70.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1500206;50.0;2.0;A1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1500305;70.0;4.0;C1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1500701;70.0;4.0;C1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1500800;7.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1500909;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1500958;55.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501105;70.0;4.0;C1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501303;70.0;2.0;A1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501402;5.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501501;7.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501600;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501709;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501808;70.0;4.0;C1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501907;55.0;2.0;A1;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1502004;65.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1501956;75.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
1502103;70.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
