cod_municipio;nome_municipio;uf;nome_uf;cod_regiao;nome_regiao;cod_microrregiao;nome_microrregiao;cod_mesorregiao;nome_mesorregiao;cod_regiao_imediata;nome_regiao_imediata;cod_regiao_intermediaria;nome_regiao_intermediaria;area_municipal_ha;ano_malha_referencia;situacao_codigo;flag_sem_producao_pam;flag_sem_producao_ppm
1100015;Alta Floresta D'Oeste;RO;Rondônia;1;Norte;11006.0;Cacoal;1102.0;Leste Rondoniense;110005;Cacoal;1102;Ji-Paraná;706712.7;2024;0;False;False
1100023;Ariquemes;RO;Rondônia;1;Norte;11003.0;Ariquemes;1102.0;Leste Rondoniense;110002;Ariquemes;1101;Porto Velho;442612.7;2024;0;False;False
1100031;Cabixi;RO;Rondônia;1;Norte;11008.0;Colorado do Oeste;1102.0;Leste Rondoniense;110006;Vilhena;1102;Ji-Paraná;131435.2;2024;0;False;False
1100049;Cacoal;RO;Rondônia;1;Norte;11006.0;Cacoal;1102.0;Leste Rondoniense;110005;Cacoal;1102;Ji-Paraná;379299.8;2024;0;False;False
1100056;Cerejeiras;RO;Rondônia;1;Norte;11008.0;Colorado do Oeste;1102.0;Leste Rondoniense;110006;Vilhena;1102;Ji-Paraná;278329.7;2024;0;False;False
1100064;Colorado do Oeste;RO;Rondônia;1;Norte;11008.0;Colorado do Oeste;1102.0;Leste Rondoniense;110006;Vilhena;1102;Ji-Paraná;145106.2;2024;0;False;False
1100072;Corumbiara;RO;Rondônia;1;Norte;11008.0;Colorado do Oeste;1102.0;Leste Rondoniense;110006;Vilhena;1102;Ji-Paraná;306032.1;2024;0;False;False
1100080;Costa Marques;RO;Rondônia;1;Norte;11002.0;Guajará-Mirim;1101.0;Madeira-Guaporé;110004;Ji-Paraná;1102;Ji-Paraná;498715.9;2024;0;False;False
1100098;Espigão D'Oeste;RO;Rondônia;1;Norte;11006.0;Cacoal;1102.0;Leste Rondoniense;110005;Cacoal;1102;Ji-Paraná;451803.9;2024;0;False;False
1100106;Guajará-Mirim;RO;Rondônia;1;Norte;11002.0;Guajará-Mirim;1101.0;Madeira-Guaporé;110001;Porto Velho;1101;Porto Velho;2485687.7;2024;0;False;False
1100114;Jaru;RO;Rondônia;1;Norte;11004.0;Ji-Paraná;1102.0;Leste Rondoniense;110003;Jaru;1101;Porto Velho;294412.6;2024;0;False;False
1100122;Ji-Paraná;RO;Rondônia;1;Norte;11004.0;Ji-Paraná;1102.0;Leste Rondoniense;110004;Ji-Paraná;1102;Ji-Paraná;689664.9;2024;0;False;False
1100130;Machadinho D'Oeste;RO;Rondônia;1;Norte;11003.0;Ariquemes;1102.0;Leste Rondoniense;110003;Jaru;1101;Porto Velho;850916.6;2024;0;False;False
1100148;Nova Brasilândia D'Oeste;RO;Rondônia;1;Norte;11005.0;Alvorada D'Oeste;1102.0;Leste Rondoniense;110005;Cacoal;1102;Ji-Paraná;170300.8;2024;0;False;False
1100155;Ouro Preto do Oeste;RO;Rondônia;1;Norte;11004.0;Ji-Paraná;1102.0;Leste Rondoniense;110004;Ji-Paraná;1102;Ji-Paraná;196987.8;2024;0;False;False
1100189;Pimenta Bueno;RO;Rondônia;1;Norte;11007.0;Vilhena;1102.0;Leste Rondoniense;110005;Cacoal;1102;Ji-Paraná;624101.7;2024;0;False;False
