cod_municipio;area_geometrica_uniao_ha;area_agropecuaria_mapbiomas_ha;area_vegetacao_mapbiomas_ha;ano_mapbiomas
1100015;439100.7404;233265.1466;323602.8279;2024
1100023;825985.3033;288231.695;135503.0871;2024
1100031;118892.7645;89812.1353;29932.1584;2024
1100049;247863.4467;230646.8383;140933.94999999998;2024
1100056;153608.2216;85670.5721;81142.3937;2024
1100064;320398.5426;109018.82400000001;34705.057;2024
1100072;298139.4053;200400.5155;99742.0343;2024
1100080;330611.5773;191049.8648;253464.3087;2024
1100098;284136.847;195098.9963;252029.513;2024
1100106;755273.5245;131959.6408;2150569.6225;2024
1100114;413262.7184;247357.90219999998;43141.3755;2024
1100122;291180.4992;223831.4237;452403.1532;2024
1100130;785640.9171;346249.589;483175.74419999996;2024
1100148;150055.6612;125364.9042;41786.7613;2024
1100155;177270.2042;170587.32140000002;23577.593699999998;2024
1100189;578273.1912;249561.5252;360041.42439999996;2024
1100205;2196110.4638;1129134.5277;2050525.8671;2024
1100254;156834.64;143612.4726;27659.7418;2024
1100262;159654.934;101246.8179;67369.79550000001;2024
1100288;486549.9545;117819.9931;24696.5782;2024
1100296;111445.1826;88292.8728;30791.7705;2024
1100304;8351.7355;175786.5997;973548.9936;2024
1100320;208259.4811;178242.4748;541423.5139;2024
1100338;476357.9515;450783.2085;542604.3113;2024
1100346;165137.4341;148088.1373;150051.9531;2024
1100379;175861.8563;130276.9225;179524.8781;2024
1100403;225923.5373;195668.0162;63436.6722;2024
1100452;300753.7773;269857.8726;53781.2524;2024
1100502;78640.9036;70111.027;13813.9795;2024
1100601;352562.269;135871.82520000002;57793.8414;2024
1100700;230299.9821;203251.4774;135974.7476;2024
1100809;499781.0947;269739.87090000004;369865.18010000006;2024
1100908;79541.5883;63030.4508;23509.0665;2024
1100924;362087.5128;257449.57869999998;252502.90579999998;2024
1100940;330191.8351;243667.1612;138791.9507;2024
1101005;182531.212;141587.82630000002;361798.7901;2024
1101104;432449.235;86056.7804;297690.8215;2024
1101203;73220.5017;63485.1389;15295.963300000001;2024
1101302;64732.8552;63457.516;54326.2426;2024
1101401;166498.0873;139986.26770000003;46097.198300000004;2024
1101435;73529.8083;71113.22320000001;9205.1188;2024
1101450;235150.8032;128127.3581;125462.513;2024
1101468;529148.5183;129871.4901;147715.4133;2024
1101476;55486.0261;44776.6131;14979.034599999999;2024
1101484;61618.2751;45439.2868;8504.6134;2024
1101492;428574.2701;245587.6426;506444.9613;2024
1101500;200907.2142;139662.3151;204460.15300000002;2024
1101559;38970.2254;40872.711899999995;4865.8116;2024
1101609;193859.7515;168061.87110000002;49983.0814;2024
1101708;105275.4729;70513.61959999999;10640.4878;2024
1101757;216875.7598;122125.0495;186229.62139999997;2024
1101807;82758.1972;83571.705;12020.537199999999;2024
1200013;175381.8042;132746.0862;45669.1835;2024
1200054;125129.1233;34092.202;460057.8953;2024
1200104;213617.4877;163280.47520000002;227403.9932;2024
1200138;309123.3416;133499.0568;167818.9908;2024
1200179;158247.7333;99765.6053;68649.0445;2024
1200203;526.3741;88510.4336;763966.2783;2024
1200252;111527.0671;90387.44320000001;73765.7895;2024
1200302;1888794.4537;181104.9301;2592060.6706;2024
1200328;367147.0968;14845.3657;517626.3206;2024
1200336;169791.5416;33105.1877;490750.9971;2024
1200344;705140.0138;64816.9648;986609.4882;2024
1200351;622179.5289;22991.149;789952.8909;2024
1200385;180951.334;152152.8652;40294.828700000005;2024
1200393;237769.8182;19219.2084;619743.9803;2024
1200401;661746.2376;295883.4618;568290.5571;2024
1200427;168058.7974;48965.8338;253484.8546;2024
1200435;127157.2034;8426.9371;599502.8267;2024
1200450;264250.1479;172667.2893;56908.670000000006;2024
1200500;2680192.9478;225193.3696;2136674.1112;2024
1200609;1604288.2905;147836.9974;1851431.8636;2024
1200708;1175643.3282;160604.6085;371304.1836;2024
1200807;283168.122;134580.0879;121950.5961;2024
1300029;432017.2649;6549.5738;525103.8531;2024
1300060;50090.5992;819.0804;262623.6202;2024
1300086;175815.4697;1334.5198;160127.01919999998;2024
1300102;838609.0831;1020.6008;191159.18519999998;2024
1300144;4729327.7528;418563.69330000004;4855392.1866;2024
1300201;1097661.7361;1915.3657;7153220.4618999995;2024
1300300;644327.7947;83728.8059;409938.36710000003;2024
1300409;8710880.9971;4287.8262;7887625.2195999995;2024
1300508;265824.8993;21162.2009;377222.8288;2024
1300607;115302.8539;1287.0678;770819.495;2024
1300631;1689349.3118;7851.8506;1228283.2342;2024
1300680;51497.3819;8454.4081;120878.4282;2024
1300706;1828614.4892;309979.8924;1812059.2266;2024
1300805;2563993.2252;30828.6499;3744111.4535;2024
1300839;619896.5219;8691.5214;789878.2944;2024
1300904;2356839.9845;150291.7335;2661840.675;2024
1301001;1272311.834;7286.9181;2046654.5173;2024
1301100;244953.4453;43409.0697;364274.0504;2024
1301159;130255.0571;36371.305;43622.7994;2024
1301209;4109584.412;7004.3373;4678239.9764;2024
1301308;895738.526;2852.2055;1155360.2194;2024
1301407;216421.0763;18406.9789;1246565.2567999999;2024
1301506;588006.3749;27964.1463;680138.7305000001;2024
1301605;1716633.8156;2018.4406;367420.0835;2024
1301654;602948.0651;50648.665;599470.6514;2024
1301704;1509.1859;117232.3586;2532236.4396;2024
1301803;924411.5774;22586.7483;993465.9865;2024
1301852;164982.2392;14607.604000000001;129198.96699999999;2024
1301902;479888.0998;53164.305700000004;434237.791;2024
1301951;294459.2741;3270.664;2260850.2245;2024
1302009;292978.7849;4740.8687;377842.7256;2024
1302108;2447010.5459;1181.0726;4758170.4779;2024
1302207;1644023.7499;2394.1335;1247197.0798;2024
1302306;4131528.2007;4529.1979;5969690.2432;2024
1302405;4962154.8591;663947.1775999999;5568047.745100001;2024
1302504;534771.8195;33316.948599999996;287908.3764;2024
1302553;262259.3017;12335.7462;226185.4313;2024
1302603;623725.6343;18490.0303;879692.6551;2024
1302702;3137897.9989;203435.5545;4081576.6777999997;2024
1302801;47486.0119;1373.2775;564826.304;2024
1302900;2674636.0572;60924.65579999999;3629485.1927;2024
1303007;840218.9468;18501.321600000003;1213452.4101;2024
1303106;514078.7963;16290.3476;406561.42100000003;2024
1303205;799532.9206;4823.433;2978256.2878;2024
1303304;4286110.3234;216542.1782;3551264.1333000003;2024
1303403;283641.2118;37296.2949;197851.5631;2024
1303502;3096975.853;26934.478;3959195.2524;2024
1303536;764370.0721;30991.6388;2141903.2651;2024
1303569;452089.8595;16905.4625;545912.4271999999;2024
1303601;1831943.8991;2218.8276;4923911.4655;2024
1303700;229817.4663;1940.1899;812006.6724;2024
1303809;871914.7175;4090.8277;8955656.613;2024
1303908;511861.1874;3206.5788;1555455.7937;2024
1303957;1148118.3627;12058.049200000001;941436.6871;2024
1304005;374969.497;6974.1817;273001.9461;2024
1304062;20046.0416;2791.0548;225309.9205;2024
1304104;5965443.7827;27451.4968;6988107.8984;2024
1304203;2223586.1433;14181.8488;2110333.3551;2024
1304237;230720.1025;1550.478;416256.1107;2024
1304260;382968.8007;7320.0158;666755.6712999999;2024
1304302;2550557.1287;10320.237;2569277.3830000004;2024
1304401;54860.2903;5097.4821;9247.4102;2024
1400027;866862.4949;45659.1853;2637368.8655000003;2024
1400050;419854.6102;86610.2454;2385287.2936;2024
1400100;347409.2726;37369.095199999996;420676.08040000004;2024
1400159;531611.0256;75626.2874;625653.9959;2024
1400175;535016.869;113964.4668;603351.6481999999;2024
1400209;1188036.8745;105848.62210000001;2546074.6755;2024
1400233;498703.7464;85947.4407;1065207.1701999998;2024
1400282;352810.7393;99384.6199;1269083.8804000001;2024
1400308;383071.2897;179545.2189;1020892.1735;2024
1400407;18330.2821;16655.485;577953.9611;2024
1400456;10718.1194;12136.0881;684871.4153;2024
1400472;1896750.4582;140741.8608;1874113.8143;2024
1400506;176343.7127;41065.5608;378489.0512;2024
1400605;144693.4465;;;2024
1500107;99134.8833;12466.3188;32316.8227;2024
1500131;56554.2023;47060.816600000006;14041.386600000002;2024
1500206;374376.0148;131424.18550000002;238178.46970000002;2024
1500305;560948.7292;1040.2218;243989.5576;2024
1500347;510941.6244;421592.1226;281012.614;2024
1500404;1171959.3541;196065.7899;2006694.1971;2024
1500503;2053314.4595;122003.3279;6713091.1007;2024
1500602;5706223.217;1115137.8258;13958327.7181;2024
1500701;683852.5827;199.2429;220407.2683;2024
1500800;8042.9356;596.2961;6510.4899;2024
1500859;605545.3221;299519.1192;847997.8531000001;2024
1500909;34184.8779;21173.1826;73133.9728;2024
1500958;162256.1699;114844.1342;55126.1982;2024
1501006;789524.3637;92501.0548;1498629.1299;2024
1501105;365454.1575;8320.578500000001;347662.3311;2024
1501204;249307.6717;87085.44580000002;165791.83250000002;2024
1501253;285742.4837;195287.90350000001;91266.7181;2024
1501303;48228.7581;9755.8554;41549.774600000004;2024
1501402;25643.1073;3514.7825000000003;19819.5686;2024
1501451;653992.3232;63088.0322;311755.30549999996;2024
1501501;7548.0727;5318.4891;8589.5734;2024
1501576;198313.2119;160839.71580000003;109477.9773;2024
1501600;46419.2325;40302.5488;17949.006;2024
1501709;91813.5219;69872.2273;122333.47529999999;2024
1501725;439712.9005;232416.7226;392872.43649999995;2024
1501758;111099.8258;98059.89580000001;24639.835000000003;2024
1501782;337251.1835;228737.36390000003;128028.26310000001;2024
1501808;825275.2683;1425.4807;483768.03589999996;2024
1501907;48773.1819;25212.621499999997;57162.546200000004;2024
1501956;309753.7455;89982.6882;126000.9718;2024
1502004;222226.0568;2548.3446000000004;34673.047099999996;2024
1502103;141667.5636;18102.2253;74177.7586;2024
1502152;193039.6358;130660.96699999999;166892.0429;2024
1502202;50822.9239;34516.435099999995;21487.8968;2024
1502301;268052.8476;190579.4909;89809.6854;2024
1502400;71036.2663;58247.8994;37239.589100000005;2024
1502509;839804.6047;1589.7411;315204.0209;2024
1502608;7606.9508;2942.8405000000002;12909.224900000001;2024
1502707;528954.4413;361016.2174;184245.31209999998;2024
1502756;59751.5461;30438.018500000002;37756.2677;2024
1502764;1249657.7435;686799.5353999999;933867.1268;2024
1502772;227481.1073;175756.296;53186.4628;2024
1502806;370671.9797;862.0862;192398.7555;2024
1502855;104828.6897;23378.32;33114.0951;2024
1502905;14788.4491;10538.992400000001;43105.9946;2024
1502939;513305.9486;264218.19060000003;257673.35470000003;2024
1502954;320361.5975;267984.0928;19878.4471;2024
1503002;64393.6731;12826.3884;1101569.3751;2024
1503044;310701.6877;231493.9475;94314.3445;2024
1503077;129528.8091;95910.61140000001;62181.7298;2024
1503093;591618.1314;338392.756;304187.3556;2024
1503101;744394.3152;5479.7387;365965.5183;2024
1503200;53130.733;46872.1452;25505.727300000002;2024
1503309;119758.4546;4819.7266;55792.6889;2024
1503408;29164.5511;18335.888199999998;17355.5967;2024
1503457;541420.0404;212032.71349999998;278523.48909999995;2024
1503507;126385.0309;88522.8689;35953.0196;2024
1503606;2318682.8061;434396.4698;5481541.7496;2024
1503705;597603.3156;413162.1591;354493.6159;2024
1503754;1473422.9632;147732.05289999998;4837397.9193;2024
1503804;156372.9123;127168.1734;44623.470199999996;2024
1503903;692251.872;41059.290700000005;590638.755;2024
1504000;70935.9837;100.2483;17622.7901;2024
1504059;36701.8725;35635.556;10080.6453;2024
1504109;10435.1367;4119.4475;22609.983699999997;2024
1504208;1295857.7256;767577.8385;676538.0161;2024
1504307;23322.8936;15081.3982;47460.3979;2024
1504406;27439.1167;16110.701500000001;45104.8922;2024
1504422;3708.0441;1347.6479;3565.1018;2024
1504455;785324.874;225735.4219;592185.9159;2024
1504505;314104.4803;3815.5101;394856.4699;2024
1504604;62891.0022;11555.166000000001;29336.3742;2024
1504703;771450.0367;297889.4378;486359.6584;2024
1504752;665998.8322;167496.0123;313935.57529999997;2024
1504802;1314700.2792;258181.365;1355453.4175;2024
1504901;256544.7983;106.4404;83942.7832;2024
1504950;176032.6743;97825.8593;180331.377;2024
1504976;127278.3479;111600.7623;26053.6001;2024
1505007;33331.6504;26540.4086;15289.7528;2024
1505031;1587894.8523;706730.3367999999;3005478.9222999997;2024
1505064;1126214.0301;836408.0904;575958.0248;2024
1505106;782887.218;127109.459;2397004.6482;2024
1505205;275006.1554;26554.667999999998;251819.7355;2024
1505304;1642935.798;73731.38769999999;10053302.4275;2024
1505403;50081.3163;33306.209299999995;17557.565100000003;2024
1505437;215751.3006;150296.37649999998;1148577.6227000002;2024
1505486;1125920.9121;640912.7751;530836.708;2024
1505494;92030.9297;72823.2331;19284.1199;2024
1505502;1810488.4637;622658.1382;1235505.519;2024
1505536;510631.6819;85013.0283;575116.9503;2024
1505551;134412.1083;96770.7404;67406.9728;2024
1505601;33880.377;23524.2751;15991.7035;2024
1505635;288470.7317;278411.57700000005;40414.931099999994;2024
1505650;562797.4442;240572.3654;467645.8834;2024
