cod_municipio;variavel;faixa_harmonizada;valor;ano_referencia;classificacao
1100015;Número de estabelecimentos agropecuários;ate_10_ha;1039.0;2017;harmonizada
1100015;Número de estabelecimentos agropecuários;mais_1000_ha;63.0;2017;harmonizada
1100015;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;380.0;2017;harmonizada
1100015;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;909.0;2017;harmonizada
1100015;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;69.0;2017;harmonizada
1100015;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;424.0;2017;harmonizada
1100015;Área dos estabelecimentos agropecuários;ate_10_ha;4655.0;2017;harmonizada
1100015;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100015;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;80831.0;2017;harmonizada
1100015;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;22305.0;2017;harmonizada
1100015;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;46034.0;2017;harmonizada
1100015;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;28075.0;2017;harmonizada
1100023;Número de estabelecimentos agropecuários;ate_10_ha;576.0;2017;harmonizada
1100023;Número de estabelecimentos agropecuários;mais_1000_ha;57.0;2017;harmonizada
1100023;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;652.0;2017;harmonizada
1100023;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;1067.0;2017;harmonizada
1100023;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;66.0;2017;harmonizada
1100023;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;509.0;2017;harmonizada
1100023;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100023;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100023;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;117539.0;2017;harmonizada
1100023;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;26195.0;2017;harmonizada
1100023;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;46670.0;2017;harmonizada
1100023;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;32235.0;2017;harmonizada
1100031;Número de estabelecimentos agropecuários;ate_10_ha;185.0;2017;harmonizada
1100031;Número de estabelecimentos agropecuários;mais_1000_ha;11.0;2017;harmonizada
1100031;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;166.0;2017;harmonizada
1100031;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;511.0;2017;harmonizada
1100031;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;17.0;2017;harmonizada
1100031;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;185.0;2017;harmonizada
1100031;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100031;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100031;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;31861.0;2017;harmonizada
1100031;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;13288.0;2017;harmonizada
1100031;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;10905.0;2017;harmonizada
1100031;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;13827.0;2017;harmonizada
1100049;Número de estabelecimentos agropecuários;ate_10_ha;1302.0;2017;harmonizada
1100049;Número de estabelecimentos agropecuários;mais_1000_ha;21.0;2017;harmonizada
1100049;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;500.0;2017;harmonizada
1100049;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;1393.0;2017;harmonizada
1100049;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;33.0;2017;harmonizada
1100049;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;556.0;2017;harmonizada
1100049;Área dos estabelecimentos agropecuários;ate_10_ha;6177.0;2017;harmonizada
1100049;Área dos estabelecimentos agropecuários;mais_1000_ha;30363.0;2017;harmonizada
1100049;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;85408.0;2017;harmonizada
1100049;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;35412.0;2017;harmonizada
1100049;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;24325.0;2017;harmonizada
1100049;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;39705.0;2017;harmonizada
1100056;Número de estabelecimentos agropecuários;ate_10_ha;186.0;2017;harmonizada
1100056;Número de estabelecimentos agropecuários;mais_1000_ha;20.0;2017;harmonizada
1100056;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;111.0;2017;harmonizada
1100056;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;273.0;2017;harmonizada
1100056;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;32.0;2017;harmonizada
1100056;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;96.0;2017;harmonizada
1100056;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100056;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100056;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;24102.0;2017;harmonizada
1100056;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;7311.0;2017;harmonizada
1100056;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;23809.0;2017;harmonizada
1100056;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;6882.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;ate_10_ha;301.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_1000_ha;15.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;290.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;712.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;24.0;2017;harmonizada
1100064;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;331.0;2017;harmonizada
1100064;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100064;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
