cod_municipio;ano_referencia;categoria;subcategoria;variavel;valor;unidade;fonte_tabela_sidra
1200013;2017;family_farming;Total;Número de estabelecimentos agropecuários;1462.0;Unidades;6778
1200013;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;234.0;Unidades;6778
1200013;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;1228.0;Unidades;6778
1200013;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;724.0;Unidades;6778
1200013;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;501.0;Unidades;6778
1200013;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;3.0;Unidades;6778
1200013;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;236.0;Unidades;6778
1200013;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;1226.0;Unidades;6778
1200054;2017;family_farming;Total;Número de estabelecimentos agropecuários;523.0;Unidades;6778
1200054;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;47.0;Unidades;6778
1200054;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;476.0;Unidades;6778
1200054;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;350.0;Unidades;6778
1200054;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;126.0;Unidades;6778
1200054;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;;Unidades;6778
1200054;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;47.0;Unidades;6778
1200054;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;476.0;Unidades;6778
1200104;2017;family_farming;Total;Número de estabelecimentos agropecuários;2100.0;Unidades;6778
1200104;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;345.0;Unidades;6778
1200104;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;1755.0;Unidades;6778
1200104;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;868.0;Unidades;6778
1200104;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;881.0;Unidades;6778
1200104;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;6.0;Unidades;6778
1200104;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;348.0;Unidades;6778
1200104;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;1752.0;Unidades;6778
1200138;2017;family_farming;Total;Número de estabelecimentos agropecuários;1404.0;Unidades;6778
1200138;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;297.0;Unidades;6778
1200138;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;1107.0;Unidades;6778
1200138;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;875.0;Unidades;6778
1200138;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;231.0;Unidades;6778
1200138;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;1.0;Unidades;6778
1200138;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;289.0;Unidades;6778
1200138;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;1115.0;Unidades;6778
1200179;2017;family_farming;Total;Número de estabelecimentos agropecuários;1289.0;Unidades;6778
1200179;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;176.0;Unidades;6778
1200179;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;1113.0;Unidades;6778
1200179;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;802.0;Unidades;6778
1200179;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;310.0;Unidades;6778
1200179;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;1.0;Unidades;6778
1200179;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;171.0;Unidades;6778
1200179;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;1118.0;Unidades;6778
1200203;2017;family_farming;Total;Número de estabelecimentos agropecuários;3264.0;Unidades;6778
1200203;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;422.0;Unidades;6778
1200203;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;2842.0;Unidades;6778
1200203;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;1885.0;Unidades;6778
1200203;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;955.0;Unidades;6778
1200203;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;2.0;Unidades;6778
1200203;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;424.0;Unidades;6778
1200203;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;2840.0;Unidades;6778
1200252;2017;family_farming;Total;Número de estabelecimentos agropecuários;1454.0;Unidades;6778
1200252;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;168.0;Unidades;6778
1200252;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;1286.0;Unidades;6778
1200252;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;727.0;Unidades;6778
1200252;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;558.0;Unidades;6778
1200252;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;1.0;Unidades;6778
1200252;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;166.0;Unidades;6778
1200252;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;1288.0;Unidades;6778
1200302;2017;family_farming;Total;Número de estabelecimentos agropecuários;2968.0;Unidades;6778
1200302;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;378.0;Unidades;6778
1200302;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;2590.0;Unidades;6778
1200302;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;1637.0;Unidades;6778
1200302;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;951.0;Unidades;6778
1200302;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;2.0;Unidades;6778
1200302;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;380.0;Unidades;6778
1200302;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;2588.0;Unidades;6778
1200328;2017;family_farming;Total;Número de estabelecimentos agropecuários;484.0;Unidades;6778
1200328;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;24.0;Unidades;6778
1200328;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;460.0;Unidades;6778
1200328;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;312.0;Unidades;6778
1200328;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;148.0;Unidades;6778
1200328;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;;Unidades;6778
1200328;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;24.0;Unidades;6778
1200328;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;460.0;Unidades;6778
1200336;2017;family_farming;Total;Número de estabelecimentos agropecuários;1088.0;Unidades;6778
1200336;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;137.0;Unidades;6778
1200336;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;951.0;Unidades;6778
1200336;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;603.0;Unidades;6778
1200336;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;348.0;Unidades;6778
1200336;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;;Unidades;6778
1200336;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;137.0;Unidades;6778
1200336;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;951.0;Unidades;6778
1200344;2017;family_farming;Total;Número de estabelecimentos agropecuários;645.0;Unidades;6778
1200344;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;119.0;Unidades;6778
1200344;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;526.0;Unidades;6778
1200344;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;462.0;Unidades;6778
1200344;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;63.0;Unidades;6778
1200344;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;1.0;Unidades;6778
1200344;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;120.0;Unidades;6778
1200344;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;525.0;Unidades;6778
1200351;2017;family_farming;Total;Número de estabelecimentos agropecuários;1677.0;Unidades;6778
1200351;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;174.0;Unidades;6778
1200351;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;1503.0;Unidades;6778
1200351;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;1130.0;Unidades;6778
1200351;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;373.0;Unidades;6778
1200351;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;;Unidades;6778
1200351;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;174.0;Unidades;6778
1200351;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;1503.0;Unidades;6778
1200385;2017;family_farming;Total;Número de estabelecimentos agropecuários;1346.0;Unidades;6778
1200385;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;282.0;Unidades;6778
1200385;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;1064.0;Unidades;6778
1200385;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;620.0;Unidades;6778
1200385;2017;family_farming;Agricultura familiar - Pronaf V;Número de estabelecimentos agropecuários;439.0;Unidades;6778
1200385;2017;family_farming;Agricultura familiar - não pronafiano;Número de estabelecimentos agropecuários;5.0;Unidades;6778
1200385;2017;family_farming;Pronamp - sim;Número de estabelecimentos agropecuários;284.0;Unidades;6778
1200385;2017;family_farming;Pronamp - não;Número de estabelecimentos agropecuários;1062.0;Unidades;6778
1200393;2017;family_farming;Total;Número de estabelecimentos agropecuários;1116.0;Unidades;6778
1200393;2017;family_farming;Agricultura familiar - não;Número de estabelecimentos agropecuários;58.0;Unidades;6778
1200393;2017;family_farming;Agricultura familiar - sim;Número de estabelecimentos agropecuários;1058.0;Unidades;6778
1200393;2017;family_farming;Agricultura familiar - Pronaf B;Número de estabelecimentos agropecuários;791.0;Unidades;6778
