cod_municipio;ano_referencia;categoria;subcategoria;variavel;valor;unidade;fonte_tabela_sidra
1200013;2017;land_condition;;Número de estabelecimentos agropecuários;1462.0;;6853
1200013;2017;land_condition;;Número de estabelecimentos agropecuários;1379.0;;6853
1200013;2017;land_condition;;Número de estabelecimentos agropecuários;37.0;;6853
1200013;2017;land_condition;;Número de estabelecimentos agropecuários;3.0;;6853
1200013;2017;land_condition;;Número de estabelecimentos agropecuários;4.0;;6853
1200013;2017;land_condition;;Número de estabelecimentos agropecuários;14.0;;6853
1200013;2017;land_condition;;Número de estabelecimentos agropecuários;13.0;;6853
1200013;2017;land_condition;;Número de estabelecimentos agropecuários;12.0;;6853
1200054;2017;land_condition;;Número de estabelecimentos agropecuários;523.0;;6853
1200054;2017;land_condition;;Número de estabelecimentos agropecuários;501.0;;6853
1200054;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200054;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200054;2017;land_condition;;Número de estabelecimentos agropecuários;12.0;;6853
1200054;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200054;2017;land_condition;;Número de estabelecimentos agropecuários;4.0;;6853
1200054;2017;land_condition;;Número de estabelecimentos agropecuários;6.0;;6853
1200104;2017;land_condition;;Número de estabelecimentos agropecuários;2100.0;;6853
1200104;2017;land_condition;;Número de estabelecimentos agropecuários;1877.0;;6853
1200104;2017;land_condition;;Número de estabelecimentos agropecuários;116.0;;6853
1200104;2017;land_condition;;Número de estabelecimentos agropecuários;5.0;;6853
1200104;2017;land_condition;;Número de estabelecimentos agropecuários;6.0;;6853
1200104;2017;land_condition;;Número de estabelecimentos agropecuários;64.0;;6853
1200104;2017;land_condition;;Número de estabelecimentos agropecuários;22.0;;6853
1200104;2017;land_condition;;Número de estabelecimentos agropecuários;10.0;;6853
1200138;2017;land_condition;;Número de estabelecimentos agropecuários;1404.0;;6853
1200138;2017;land_condition;;Número de estabelecimentos agropecuários;978.0;;6853
1200138;2017;land_condition;;Número de estabelecimentos agropecuários;370.0;;6853
1200138;2017;land_condition;;Número de estabelecimentos agropecuários;3.0;;6853
1200138;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200138;2017;land_condition;;Número de estabelecimentos agropecuários;3.0;;6853
1200138;2017;land_condition;;Número de estabelecimentos agropecuários;47.0;;6853
1200138;2017;land_condition;;Número de estabelecimentos agropecuários;2.0;;6853
1200179;2017;land_condition;;Número de estabelecimentos agropecuários;1289.0;;6853
1200179;2017;land_condition;;Número de estabelecimentos agropecuários;1069.0;;6853
1200179;2017;land_condition;;Número de estabelecimentos agropecuários;182.0;;6853
1200179;2017;land_condition;;Número de estabelecimentos agropecuários;2.0;;6853
1200179;2017;land_condition;;Número de estabelecimentos agropecuários;6.0;;6853
1200179;2017;land_condition;;Número de estabelecimentos agropecuários;6.0;;6853
1200179;2017;land_condition;;Número de estabelecimentos agropecuários;24.0;;6853
1200179;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200203;2017;land_condition;;Número de estabelecimentos agropecuários;3264.0;;6853
1200203;2017;land_condition;;Número de estabelecimentos agropecuários;2152.0;;6853
1200203;2017;land_condition;;Número de estabelecimentos agropecuários;456.0;;6853
1200203;2017;land_condition;;Número de estabelecimentos agropecuários;7.0;;6853
1200203;2017;land_condition;;Número de estabelecimentos agropecuários;20.0;;6853
1200203;2017;land_condition;;Número de estabelecimentos agropecuários;148.0;;6853
1200203;2017;land_condition;;Número de estabelecimentos agropecuários;422.0;;6853
1200203;2017;land_condition;;Número de estabelecimentos agropecuários;59.0;;6853
1200252;2017;land_condition;;Número de estabelecimentos agropecuários;1454.0;;6853
1200252;2017;land_condition;;Número de estabelecimentos agropecuários;1431.0;;6853
1200252;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200252;2017;land_condition;;Número de estabelecimentos agropecuários;2.0;;6853
1200252;2017;land_condition;;Número de estabelecimentos agropecuários;3.0;;6853
1200252;2017;land_condition;;Número de estabelecimentos agropecuários;16.0;;6853
1200252;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200252;2017;land_condition;;Número de estabelecimentos agropecuários;2.0;;6853
1200302;2017;land_condition;;Número de estabelecimentos agropecuários;2968.0;;6853
1200302;2017;land_condition;;Número de estabelecimentos agropecuários;2290.0;;6853
1200302;2017;land_condition;;Número de estabelecimentos agropecuários;542.0;;6853
1200302;2017;land_condition;;Número de estabelecimentos agropecuários;4.0;;6853
1200302;2017;land_condition;;Número de estabelecimentos agropecuários;2.0;;6853
1200302;2017;land_condition;;Número de estabelecimentos agropecuários;44.0;;6853
1200302;2017;land_condition;;Número de estabelecimentos agropecuários;68.0;;6853
1200302;2017;land_condition;;Número de estabelecimentos agropecuários;18.0;;6853
1200328;2017;land_condition;;Número de estabelecimentos agropecuários;484.0;;6853
1200328;2017;land_condition;;Número de estabelecimentos agropecuários;419.0;;6853
1200328;2017;land_condition;;Número de estabelecimentos agropecuários;7.0;;6853
1200328;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200328;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200328;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200328;2017;land_condition;;Número de estabelecimentos agropecuários;57.0;;6853
1200328;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200336;2017;land_condition;;Número de estabelecimentos agropecuários;1088.0;;6853
1200336;2017;land_condition;;Número de estabelecimentos agropecuários;600.0;;6853
1200336;2017;land_condition;;Número de estabelecimentos agropecuários;255.0;;6853
1200336;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200336;2017;land_condition;;Número de estabelecimentos agropecuários;3.0;;6853
1200336;2017;land_condition;;Número de estabelecimentos agropecuários;40.0;;6853
1200336;2017;land_condition;;Número de estabelecimentos agropecuários;188.0;;6853
1200336;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200344;2017;land_condition;;Número de estabelecimentos agropecuários;645.0;;6853
1200344;2017;land_condition;;Número de estabelecimentos agropecuários;480.0;;6853
1200344;2017;land_condition;;Número de estabelecimentos agropecuários;110.0;;6853
1200344;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200344;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200344;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200344;2017;land_condition;;Número de estabelecimentos agropecuários;53.0;;6853
1200344;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200351;2017;land_condition;;Número de estabelecimentos agropecuários;1677.0;;6853
1200351;2017;land_condition;;Número de estabelecimentos agropecuários;490.0;;6853
1200351;2017;land_condition;;Número de estabelecimentos agropecuários;646.0;;6853
1200351;2017;land_condition;;Número de estabelecimentos agropecuários;4.0;;6853
1200351;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200351;2017;land_condition;;Número de estabelecimentos agropecuários;5.0;;6853
1200351;2017;land_condition;;Número de estabelecimentos agropecuários;495.0;;6853
1200351;2017;land_condition;;Número de estabelecimentos agropecuários;36.0;;6853
1200385;2017;land_condition;;Número de estabelecimentos agropecuários;1346.0;;6853
1200385;2017;land_condition;;Número de estabelecimentos agropecuários;1315.0;;6853
1200385;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200385;2017;land_condition;;Número de estabelecimentos agropecuários;4.0;;6853
1200385;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200385;2017;land_condition;;Número de estabelecimentos agropecuários;9.0;;6853
1200385;2017;land_condition;;Número de estabelecimentos agropecuários;15.0;;6853
1200385;2017;land_condition;;Número de estabelecimentos agropecuários;2.0;;6853
1200393;2017;land_condition;;Número de estabelecimentos agropecuários;1116.0;;6853
1200393;2017;land_condition;;Número de estabelecimentos agropecuários;304.0;;6853
1200393;2017;land_condition;;Número de estabelecimentos agropecuários;530.0;;6853
1200393;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200393;2017;land_condition;;Número de estabelecimentos agropecuários;6.0;;6853
1200393;2017;land_condition;;Número de estabelecimentos agropecuários;21.0;;6853
1200393;2017;land_condition;;Número de estabelecimentos agropecuários;183.0;;6853
1200393;2017;land_condition;;Número de estabelecimentos agropecuários;72.0;;6853
1200401;2017;land_condition;;Número de estabelecimentos agropecuários;4106.0;;6853
1200401;2017;land_condition;;Número de estabelecimentos agropecuários;4007.0;;6853
1200401;2017;land_condition;;Número de estabelecimentos agropecuários;12.0;;6853
1200401;2017;land_condition;;Número de estabelecimentos agropecuários;15.0;;6853
1200401;2017;land_condition;;Número de estabelecimentos agropecuários;12.0;;6853
1200401;2017;land_condition;;Número de estabelecimentos agropecuários;3.0;;6853
1200401;2017;land_condition;;Número de estabelecimentos agropecuários;56.0;;6853
1200401;2017;land_condition;;Número de estabelecimentos agropecuários;1.0;;6853
1200427;2017;land_condition;;Número de estabelecimentos agropecuários;1292.0;;6853
1200427;2017;land_condition;;Número de estabelecimentos agropecuários;1013.0;;6853
1200427;2017;land_condition;;Número de estabelecimentos agropecuários;118.0;;6853
1200427;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200427;2017;land_condition;;Número de estabelecimentos agropecuários;3.0;;6853
1200427;2017;land_condition;;Número de estabelecimentos agropecuários;39.0;;6853
1200427;2017;land_condition;;Número de estabelecimentos agropecuários;119.0;;6853
1200427;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200435;2017;land_condition;;Número de estabelecimentos agropecuários;632.0;;6853
1200435;2017;land_condition;;Número de estabelecimentos agropecuários;311.0;;6853
1200435;2017;land_condition;;Número de estabelecimentos agropecuários;321.0;;6853
1200435;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200435;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200435;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200435;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200435;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200450;2017;land_condition;;Número de estabelecimentos agropecuários;1454.0;;6853
1200450;2017;land_condition;;Número de estabelecimentos agropecuários;1390.0;;6853
1200450;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200450;2017;land_condition;;Número de estabelecimentos agropecuários;8.0;;6853
1200450;2017;land_condition;;Número de estabelecimentos agropecuários;2.0;;6853
1200450;2017;land_condition;;Número de estabelecimentos agropecuários;;;6853
1200450;2017;land_condition;;Número de estabelecimentos agropecuários;44.0;;6853
