cod_municipio;ano_referencia;categoria;subcategoria;variavel;valor;unidade;fonte_tabela_sidra
1200013;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;158.0;Unidades;6870
1200013;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;112.0;Unidades;6870
1200013;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;56.0;Unidades;6870
1200013;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;199.0;Unidades;6870
1200013;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;124.0;Unidades;6870
1200013;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;75.0;Unidades;6870
1200054;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;3.0;Unidades;6870
1200054;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;3.0;Unidades;6870
1200054;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;;Unidades;6870
1200054;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;4.0;Unidades;6870
1200054;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;4.0;Unidades;6870
1200054;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;;Unidades;6870
1200104;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;112.0;Unidades;6870
1200104;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;99.0;Unidades;6870
1200104;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;31.0;Unidades;6870
1200104;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;168.0;Unidades;6870
1200104;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;122.0;Unidades;6870
1200104;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;46.0;Unidades;6870
1200138;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;92.0;Unidades;6870
1200138;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;75.0;Unidades;6870
1200138;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;24.0;Unidades;6870
1200138;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;148.0;Unidades;6870
1200138;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;104.0;Unidades;6870
1200138;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;44.0;Unidades;6870
1200179;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;51.0;Unidades;6870
1200179;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;38.0;Unidades;6870
1200179;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;26.0;Unidades;6870
1200179;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;111.0;Unidades;6870
1200179;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;63.0;Unidades;6870
1200179;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;48.0;Unidades;6870
1200203;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;33.0;Unidades;6870
1200203;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;27.0;Unidades;6870
1200203;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;8.0;Unidades;6870
1200203;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;43.0;Unidades;6870
1200203;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;34.0;Unidades;6870
1200203;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;9.0;Unidades;6870
1200252;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;50.0;Unidades;6870
1200252;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;41.0;Unidades;6870
1200252;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;12.0;Unidades;6870
1200252;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;76.0;Unidades;6870
1200252;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;60.0;Unidades;6870
1200252;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;16.0;Unidades;6870
1200302;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;7.0;Unidades;6870
1200302;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;7.0;Unidades;6870
1200302;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;;Unidades;6870
1200302;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;7.0;Unidades;6870
1200302;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;7.0;Unidades;6870
1200302;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;;Unidades;6870
1200328;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;1.0;Unidades;6870
1200328;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;1.0;Unidades;6870
1200328;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;;Unidades;6870
1200328;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;;Unidades;6870
1200328;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;;Unidades;6870
1200328;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;;Unidades;6870
1200336;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;9.0;Unidades;6870
1200336;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;6.0;Unidades;6870
1200336;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;3.0;Unidades;6870
1200336;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;10.0;Unidades;6870
1200336;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;7.0;Unidades;6870
1200336;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;3.0;Unidades;6870
1200344;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;11.0;Unidades;6870
1200344;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;7.0;Unidades;6870
1200344;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;4.0;Unidades;6870
1200344;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;17.0;Unidades;6870
1200344;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;8.0;Unidades;6870
1200344;2017;machinery;De 100 cv e mais;Número de tratores existentes nos estabelecimentos agropecuários;9.0;Unidades;6870
1200351;2017;machinery;Total;Número de estabelecimentos agropecuários com tratores;1.0;Unidades;6870
1200351;2017;machinery;Menos de 100 cv;Número de estabelecimentos agropecuários com tratores;;Unidades;6870
1200351;2017;machinery;De 100 cv e mais;Número de estabelecimentos agropecuários com tratores;1.0;Unidades;6870
1200351;2017;machinery;Total;Número de tratores existentes nos estabelecimentos agropecuários;;Unidades;6870
1200351;2017;machinery;Menos de 100 cv;Número de tratores existentes nos estabelecimentos agropecuários;;Unidades;6870
