cod_municipio;numero_estabelecimentos;area_estabelecimentos_ha;ano_referencia
1100015;2886.0;372746.0;2017
1100023;2928.0;334256.0;2017
1100031;1075.0;113085.0;2017
1100049;3814.0;221390.0;2017
1100056;719.0;126686.0;2017
1100064;1674.0;139796.0;2017
1100072;1489.0;273086.0;2017
1100080;1500.0;220177.0;2017
1100098;2000.0;247331.0;2017
1100106;602.0;70487.0;2017
1100114;3548.0;250653.0;2017
1100122;2544.0;215375.0;2017
1100130;4272.0;300762.0;2017
1100148;3010.0;156002.0;2017
1100155;2159.0;152422.0;2017
1100189;1241.0;274321.0;2017
1100205;5177.0;778218.0;2017
1100254;2105.0;124134.0;2017
1100262;492.0;136003.0;2017
1100288;2038.0;123887.0;2017
1100296;1023.0;84667.0;2017
1100304;1580.0;250110.0;2017
1100320;2487.0;190475.0;2017
1100338;2117.0;251318.0;2017
1100346;1825.0;148755.0;2017
1100379;1975.0;144821.0;2017
1100403;2619.0;195634.0;2017
1100452;2830.0;237350.0;2017
1100502;1347.0;69661.0;2017
1100601;903.0;170893.0;2017
1100700;1918.0;196865.0;2017
1100809;1240.0;182933.0;2017
1100908;577.0;52056.0;2017
1100924;1045.0;352500.0;2017
1100940;1897.0;194385.0;2017
1101005;1693.0;132212.0;2017
1101104;764.0;84682.0;2017
1101203;1201.0;60545.0;2017
1101302;1242.0;56423.0;2017
1101401;1554.0;143393.0;2017
1101435;1387.0;61657.0;2017
1101450;642.0;131376.0;2017
1101468;304.0;207432.0;2017
1101476;401.0;64398.0;2017
1101484;797.0;41452.0;2017
1101492;1950.0;255020.0;2017
1101500;1677.0;117576.0;2017
1101559;738.0;40242.0;2017
1101609;2160.0;219207.0;2017
1101708;1623.0;56977.0;2017
1101757;1707.0;120711.0;2017
1101807;942.0;73342.0;2017
1200013;1462.0;152246.0;2017
1200054;523.0;69947.0;2017
1200104;2100.0;337267.0;2017
1200138;1404.0;264480.0;2017
1200179;1289.0;156800.0;2017
1200203;3264.0;132413.0;2017
1200252;1454.0;172858.0;2017
1200302;2968.0;346175.0;2017
1200328;484.0;20682.0;2017
1200336;1088.0;34151.0;2017
1200344;645.0;86082.0;2017
1200351;1677.0;36255.0;2017
1200385;1346.0;165281.0;2017
1200393;1116.0;37392.0;2017
1200401;4106.0;512655.0;2017
1200427;1292.0;46309.0;2017
1200435;632.0;28049.0;2017
1200450;1454.0;177215.0;2017
1200500;2682.0;378724.0;2017
1200609;2904.0;377807.0;2017
1200708;1887.0;494036.0;2017
1200807;1579.0;205876.0;2017
1300029;1002.0;8686.0;2017
1300060;538.0;6340.0;2017
1300086;622.0;14032.0;2017
1300102;749.0;21664.0;2017
1300144;1091.0;338777.0;2017
1300201;1252.0;12617.0;2017
1300300;2583.0;169558.0;2017
1300409;932.0;7666.0;2017
1300508;1579.0;49256.0;2017
1300607;1210.0;5687.0;2017
1300631;1017.0;28382.0;2017
1300680;1119.0;50141.0;2017
1300706;3373.0;330681.0;2017
1300805;1732.0;39667.0;2017
1300839;213.0;3619.0;2017
1300904;1029.0;157963.0;2017
1301001;1505.0;266090.0;2017
1301100;2291.0;95428.0;2017
