cod_municipio;ano_referencia;categoria;subcategoria;variavel;valor;unidade;fonte_tabela_sidra
1200013;2017;storage;;Número de estabelecimentos agropecuários com veículos;606.0;;6875
1200054;2017;storage;;Número de estabelecimentos agropecuários com veículos;32.0;;6875
1200104;2017;storage;;Número de estabelecimentos agropecuários com veículos;617.0;;6875
1200138;2017;storage;;Número de estabelecimentos agropecuários com veículos;250.0;;6875
1200179;2017;storage;;Número de estabelecimentos agropecuários com veículos;126.0;;6875
1200203;2017;storage;;Número de estabelecimentos agropecuários com veículos;193.0;;6875
1200252;2017;storage;;Número de estabelecimentos agropecuários com veículos;466.0;;6875
1200302;2017;storage;;Número de estabelecimentos agropecuários com veículos;298.0;;6875
1200328;2017;storage;;Número de estabelecimentos agropecuários com veículos;1.0;;6875
1200336;2017;storage;;Número de estabelecimentos agropecuários com veículos;70.0;;6875
1200344;2017;storage;;Número de estabelecimentos agropecuários com veículos;137.0;;6875
1200351;2017;storage;;Número de estabelecimentos agropecuários com veículos;2.0;;6875
1200385;2017;storage;;Número de estabelecimentos agropecuários com veículos;353.0;;6875
1200393;2017;storage;;Número de estabelecimentos agropecuários com veículos;4.0;;6875
1200401;2017;storage;;Número de estabelecimentos agropecuários com veículos;749.0;;6875
1200427;2017;storage;;Número de estabelecimentos agropecuários com veículos;132.0;;6875
1200435;2017;storage;;Número de estabelecimentos agropecuários com veículos;33.0;;6875
1200450;2017;storage;;Número de estabelecimentos agropecuários com veículos;291.0;;6875
1200500;2017;storage;;Número de estabelecimentos agropecuários com veículos;825.0;;6875
1200609;2017;storage;;Número de estabelecimentos agropecuários com veículos;347.0;;6875
1200708;2017;storage;;Número de estabelecimentos agropecuários com veículos;704.0;;6875
1200807;2017;storage;;Número de estabelecimentos agropecuários com veículos;481.0;;6875
2700102;2017;storage;;Número de estabelecimentos agropecuários com veículos;302.0;;6875
2700201;2017;storage;;Número de estabelecimentos agropecuários com veículos;7.0;;6875
2700300;2017;storage;;Número de estabelecimentos agropecuários com veículos;101.0;;6875
2700409;2017;storage;;Número de estabelecimentos agropecuários com veículos;24.0;;6875
2700508;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2700706;2017;storage;;Número de estabelecimentos agropecuários com veículos;56.0;;6875
2700805;2017;storage;;Número de estabelecimentos agropecuários com veículos;22.0;;6875
2700904;2017;storage;;Número de estabelecimentos agropecuários com veículos;24.0;;6875
2701001;2017;storage;;Número de estabelecimentos agropecuários com veículos;12.0;;6875
2701100;2017;storage;;Número de estabelecimentos agropecuários com veículos;21.0;;6875
2701209;2017;storage;;Número de estabelecimentos agropecuários com veículos;34.0;;6875
2701308;2017;storage;;Número de estabelecimentos agropecuários com veículos;7.0;;6875
2701357;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2701407;2017;storage;;Número de estabelecimentos agropecuários com veículos;44.0;;6875
2701506;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2701605;2017;storage;;Número de estabelecimentos agropecuários com veículos;17.0;;6875
2701704;2017;storage;;Número de estabelecimentos agropecuários com veículos;10.0;;6875
2701803;2017;storage;;Número de estabelecimentos agropecuários com veículos;16.0;;6875
2701902;2017;storage;;Número de estabelecimentos agropecuários com veículos;3.0;;6875
2702009;2017;storage;;Número de estabelecimentos agropecuários com veículos;33.0;;6875
2702108;2017;storage;;Número de estabelecimentos agropecuários com veículos;8.0;;6875
2702207;2017;storage;;Número de estabelecimentos agropecuários com veículos;4.0;;6875
2702306;2017;storage;;Número de estabelecimentos agropecuários com veículos;100.0;;6875
2702355;2017;storage;;Número de estabelecimentos agropecuários com veículos;144.0;;6875
2702405;2017;storage;;Número de estabelecimentos agropecuários com veículos;70.0;;6875
2702504;2017;storage;;Número de estabelecimentos agropecuários com veículos;43.0;;6875
2702553;2017;storage;;Número de estabelecimentos agropecuários com veículos;75.0;;6875
2702603;2017;storage;;Número de estabelecimentos agropecuários com veículos;240.0;;6875
2702702;2017;storage;;Número de estabelecimentos agropecuários com veículos;89.0;;6875
2702801;2017;storage;;Número de estabelecimentos agropecuários com veículos;41.0;;6875
2702900;2017;storage;;Número de estabelecimentos agropecuários com veículos;302.0;;6875
2703007;2017;storage;;Número de estabelecimentos agropecuários com veículos;66.0;;6875
2703106;2017;storage;;Número de estabelecimentos agropecuários com veículos;262.0;;6875
2703205;2017;storage;;Número de estabelecimentos agropecuários com veículos;345.0;;6875
2703304;2017;storage;;Número de estabelecimentos agropecuários com veículos;170.0;;6875
2703403;2017;storage;;Número de estabelecimentos agropecuários com veículos;230.0;;6875
2703502;2017;storage;;Número de estabelecimentos agropecuários com veículos;7.0;;6875
2703601;2017;storage;;Número de estabelecimentos agropecuários com veículos;9.0;;6875
2703700;2017;storage;;Número de estabelecimentos agropecuários com veículos;114.0;;6875
2703759;2017;storage;;Número de estabelecimentos agropecuários com veículos;6.0;;6875
2703809;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2703908;2017;storage;;Número de estabelecimentos agropecuários com veículos;9.0;;6875
2704005;2017;storage;;Número de estabelecimentos agropecuários com veículos;215.0;;6875
2704104;2017;storage;;Número de estabelecimentos agropecuários com veículos;188.0;;6875
2704203;2017;storage;;Número de estabelecimentos agropecuários com veículos;143.0;;6875
2704302;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2704401;2017;storage;;Número de estabelecimentos agropecuários com veículos;57.0;;6875
2704500;2017;storage;;Número de estabelecimentos agropecuários com veículos;88.0;;6875
2704609;2017;storage;;Número de estabelecimentos agropecuários com veículos;36.0;;6875
2704708;2017;storage;;Número de estabelecimentos agropecuários com veículos;4.0;;6875
2704807;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2704906;2017;storage;;Número de estabelecimentos agropecuários com veículos;65.0;;6875
2705002;2017;storage;;Número de estabelecimentos agropecuários com veículos;355.0;;6875
2705101;2017;storage;;Número de estabelecimentos agropecuários com veículos;41.0;;6875
2705200;2017;storage;;Número de estabelecimentos agropecuários com veículos;1.0;;6875
2705309;2017;storage;;Número de estabelecimentos agropecuários com veículos;241.0;;6875
2705507;2017;storage;;Número de estabelecimentos agropecuários com veículos;11.0;;6875
2705606;2017;storage;;Número de estabelecimentos agropecuários com veículos;8.0;;6875
2705705;2017;storage;;Número de estabelecimentos agropecuários com veículos;62.0;;6875
2705804;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2705903;2017;storage;;Número de estabelecimentos agropecuários com veículos;2.0;;6875
2706000;2017;storage;;Número de estabelecimentos agropecuários com veículos;37.0;;6875
2706109;2017;storage;;Número de estabelecimentos agropecuários com veículos;107.0;;6875
2706208;2017;storage;;Número de estabelecimentos agropecuários com veículos;2.0;;6875
2706307;2017;storage;;Número de estabelecimentos agropecuários com veículos;473.0;;6875
2706406;2017;storage;;Número de estabelecimentos agropecuários com veículos;284.0;;6875
2706422;2017;storage;;Número de estabelecimentos agropecuários com veículos;18.0;;6875
2706448;2017;storage;;Número de estabelecimentos agropecuários com veículos;3.0;;6875
2706505;2017;storage;;Número de estabelecimentos agropecuários com veículos;7.0;;6875
2706604;2017;storage;;Número de estabelecimentos agropecuários com veículos;3.0;;6875
2706703;2017;storage;;Número de estabelecimentos agropecuários com veículos;285.0;;6875
2706802;2017;storage;;Número de estabelecimentos agropecuários com veículos;13.0;;6875
2706901;2017;storage;;Número de estabelecimentos agropecuários com veículos;7.0;;6875
2707008;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2707107;2017;storage;;Número de estabelecimentos agropecuários com veículos;124.0;;6875
2707206;2017;storage;;Número de estabelecimentos agropecuários com veículos;86.0;;6875
2707305;2017;storage;;Número de estabelecimentos agropecuários com veículos;52.0;;6875
2707404;2017;storage;;Número de estabelecimentos agropecuários com veículos;12.0;;6875
2707503;2017;storage;;Número de estabelecimentos agropecuários com veículos;60.0;;6875
2707602;2017;storage;;Número de estabelecimentos agropecuários com veículos;175.0;;6875
2707701;2017;storage;;Número de estabelecimentos agropecuários com veículos;5.0;;6875
2707800;2017;storage;;Número de estabelecimentos agropecuários com veículos;4.0;;6875
2707909;2017;storage;;Número de estabelecimentos agropecuários com veículos;2.0;;6875
2708006;2017;storage;;Número de estabelecimentos agropecuários com veículos;96.0;;6875
2708105;2017;storage;;Número de estabelecimentos agropecuários com veículos;186.0;;6875
2708204;2017;storage;;Número de estabelecimentos agropecuários com veículos;2.0;;6875
2708303;2017;storage;;Número de estabelecimentos agropecuários com veículos;11.0;;6875
2708402;2017;storage;;Número de estabelecimentos agropecuários com veículos;192.0;;6875
2708501;2017;storage;;Número de estabelecimentos agropecuários com veículos;47.0;;6875
2708600;2017;storage;;Número de estabelecimentos agropecuários com veículos;16.0;;6875
2708709;2017;storage;;Número de estabelecimentos agropecuários com veículos;11.0;;6875
2708808;2017;storage;;Número de estabelecimentos agropecuários com veículos;52.0;;6875
2708907;2017;storage;;Número de estabelecimentos agropecuários com veículos;2.0;;6875
2708956;2017;storage;;Número de estabelecimentos agropecuários com veículos;183.0;;6875
2709004;2017;storage;;Número de estabelecimentos agropecuários com veículos;1.0;;6875
2709103;2017;storage;;Número de estabelecimentos agropecuários com veículos;20.0;;6875
2709152;2017;storage;;Número de estabelecimentos agropecuários com veículos;40.0;;6875
2709202;2017;storage;;Número de estabelecimentos agropecuários com veículos;349.0;;6875
2709301;2017;storage;;Número de estabelecimentos agropecuários com veículos;129.0;;6875
2709400;2017;storage;;Número de estabelecimentos agropecuários com veículos;19.0;;6875
1300029;2017;storage;;Número de estabelecimentos agropecuários com veículos;47.0;;6875
1300060;2017;storage;;Número de estabelecimentos agropecuários com veículos;3.0;;6875
1300086;2017;storage;;Número de estabelecimentos agropecuários com veículos;78.0;;6875
1300102;2017;storage;;Número de estabelecimentos agropecuários com veículos;116.0;;6875
1300144;2017;storage;;Número de estabelecimentos agropecuários com veículos;357.0;;6875
1300300;2017;storage;;Número de estabelecimentos agropecuários com veículos;200.0;;6875
1300409;2017;storage;;Número de estabelecimentos agropecuários com veículos;14.0;;6875
1300508;2017;storage;;Número de estabelecimentos agropecuários com veículos;13.0;;6875
1300607;2017;storage;;Número de estabelecimentos agropecuários com veículos;100.0;;6875
1300631;2017;storage;;Número de estabelecimentos agropecuários com veículos;100.0;;6875
1300680;2017;storage;;Número de estabelecimentos agropecuários com veículos;1.0;;6875
1300706;2017;storage;;Número de estabelecimentos agropecuários com veículos;545.0;;6875
1300805;2017;storage;;Número de estabelecimentos agropecuários com veículos;72.0;;6875
1300904;2017;storage;;Número de estabelecimentos agropecuários com veículos;316.0;;6875
1301001;2017;storage;;Número de estabelecimentos agropecuários com veículos;204.0;;6875
