cod_ibge;valor_contratado;area_ha;ano_ref;finalidade;fonte
1100015;131321128.86;31285.73;2024;Custeio;BCB/SICOR (MDCR)
1100015;67365761.22;9389.96;2024;Investimento;BCB/SICOR (MDCR)
1100023;189769205.35;40778.13;2024;Custeio;BCB/SICOR (MDCR)
1100023;92990341.89;12633.42;2024;Investimento;BCB/SICOR (MDCR)
1100031;46084695.82;10118.47;2024;Custeio;BCB/SICOR (MDCR)
1100031;27466178.89;3475.48;2024;Investimento;BCB/SICOR (MDCR)
1100049;95551264.98;23998.61;2024;Custeio;BCB/SICOR (MDCR)
1100049;86620002.81;9471.05;2024;Investimento;BCB/SICOR (MDCR)
1100056;115731455.21;16707.61;2024;Custeio;BCB/SICOR (MDCR)
1100056;46732658.57;4309.83;2024;Investimento;BCB/SICOR (MDCR)
1100064;76540991.81;17082.89;2024;Custeio;BCB/SICOR (MDCR)
1100064;58264188.97;6958.78;2024;Investimento;BCB/SICOR (MDCR)
1100072;217669144.04999998;34731.43;2024;Custeio;BCB/SICOR (MDCR)
1100072;38363890.49;7357.58;2024;Investimento;BCB/SICOR (MDCR)
1100080;72678327.02;17112.73;2024;Custeio;BCB/SICOR (MDCR)
1100080;46545873.14;7265.32;2024;Investimento;BCB/SICOR (MDCR)
1100098;99138912.49;24236.95;2024;Custeio;BCB/SICOR (MDCR)
1100098;46467369.49;6584.21;2024;Investimento;BCB/SICOR (MDCR)
1100106;32614582.63;8588.28;2024;Custeio;BCB/SICOR (MDCR)
1100106;28729207.13;1623.81;2024;Investimento;BCB/SICOR (MDCR)
1100114;120561663.38;39541.99;2024;Custeio;BCB/SICOR (MDCR)
1100114;101901398.86;13112.69;2024;Investimento;BCB/SICOR (MDCR)
1100122;92407540.57000001;24388.13;2024;Custeio;BCB/SICOR (MDCR)
1100122;65804942.21;10587.64;2024;Investimento;BCB/SICOR (MDCR)
1100130;155327579.17;37377.71;2024;Custeio;BCB/SICOR (MDCR)
1100130;92899982.47;11652.55;2024;Investimento;BCB/SICOR (MDCR)
1100148;34940582.49;6246.1900000000005;2024;Custeio;BCB/SICOR (MDCR)
1100148;56569905.32;3270.89;2024;Investimento;BCB/SICOR (MDCR)
1100155;70124721.36;18676.52;2024;Custeio;BCB/SICOR (MDCR)
1100155;56488926.78;8133.84;2024;Investimento;BCB/SICOR (MDCR)
1100189;147328623.14;40238.56;2024;Custeio;BCB/SICOR (MDCR)
1100189;75905656.58;11553.69;2024;Investimento;BCB/SICOR (MDCR)
1100205;348158239.15;85529.05;2024;Custeio;BCB/SICOR (MDCR)
1100205;193469697.17;23995.14;2024;Investimento;BCB/SICOR (MDCR)
1100254;94857860.16;25079.39;2024;Custeio;BCB/SICOR (MDCR)
1100254;39907229.65;7027.33;2024;Investimento;BCB/SICOR (MDCR)
1100262;120345634.74;28209.18;2024;Custeio;BCB/SICOR (MDCR)
1100262;60471116.51;4334.99;2024;Investimento;BCB/SICOR (MDCR)
1100288;42152599.839999996;10846.13;2024;Custeio;BCB/SICOR (MDCR)
1100288;35677450.45;4557.89;2024;Investimento;BCB/SICOR (MDCR)
1100296;52662337.46;14314.8;2024;Custeio;BCB/SICOR (MDCR)
1100296;14788811.370000001;1554.98;2024;Investimento;BCB/SICOR (MDCR)
1100304;144754149.63;27057.17;2024;Custeio;BCB/SICOR (MDCR)
1100304;81867747.62;4865.77;2024;Investimento;BCB/SICOR (MDCR)
1100320;115980769.08;21471.17;2024;Custeio;BCB/SICOR (MDCR)
1100320;64897712.160000004;4247.4;2024;Investimento;BCB/SICOR (MDCR)
1100338;152334273.35;46621.72;2024;Custeio;BCB/SICOR (MDCR)
1100338;95126851.69;16629.85;2024;Investimento;BCB/SICOR (MDCR)
1100346;66274342.83;19057.36;2024;Custeio;BCB/SICOR (MDCR)
1100346;56942954.04;8300.21;2024;Investimento;BCB/SICOR (MDCR)
1100379;40499160.65;10797.94;2024;Custeio;BCB/SICOR (MDCR)
1100379;33299704.92;4879.89;2024;Investimento;BCB/SICOR (MDCR)
1100403;113477872.98;30076.53;2024;Custeio;BCB/SICOR (MDCR)
1100403;76333549.97;9775.47;2024;Investimento;BCB/SICOR (MDCR)
1100452;74547634.64;29350.9;2024;Custeio;BCB/SICOR (MDCR)
1100452;32852279.08;12866.84;2024;Investimento;BCB/SICOR (MDCR)
1100502;32475962.4;5950.56;2024;Custeio;BCB/SICOR (MDCR)
1100502;28564666.77;2414.57;2024;Investimento;BCB/SICOR (MDCR)
1100601;80913186.07;21559.93;2024;Custeio;BCB/SICOR (MDCR)
1100601;42871029.48;7861.87;2024;Investimento;BCB/SICOR (MDCR)
1100700;76131726.08;29219.23;2024;Custeio;BCB/SICOR (MDCR)
