cod_ibge;populacao;pib_total;impostos_liquidos;vab_agropecuaria;vab_industria;vab_servicos;pct_agro_no_pib;pib_per_capita;ano_ref;ano_ref_vab;fonte
1100015;22853.0;1046343.0;49597.0;311469.0;27845.0;172435.0;0.6086;45785.8;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100023;108573.0;4383815.0;420336.0;293001.0;407675.0;1307977.0;0.1459;40376.66;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100031;5690.0;300832.0;11193.0;136659.0;8117.0;35866.0;0.7565;52870.3;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100049;97637.0;3848468.0;384627.0;341315.0;236801.0;1200654.0;0.1919;39416.08;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100056;16975.0;1006389.0;131906.0;151690.0;27433.0;308668.0;0.311;59286.54;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100064;16588.0;580899.0;33013.0;123524.0;28827.0;124601.0;0.446;35019.23;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100072;8001.0;509566.0;16071.0;260728.0;14014.0;45392.0;0.8144;63687.79;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100080;13522.0;413943.0;11756.0;116783.0;6683.0;53392.0;0.6603;30612.56;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100098;32717.0;1023973.0;77583.0;202434.0;54682.0;221162.0;0.4233;31297.89;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100106;43553.0;1145034.0;180696.0;77442.0;40538.0;436344.0;0.1397;26290.59;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100114;55583.0;2515558.0;238070.0;280711.0;177623.0;688455.0;0.2448;45257.69;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100122;139359.0;5824472.0;719582.0;206345.0;502238.0;1926052.0;0.0783;41794.73;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100130;34063.0;1055806.0;52916.0;352193.0;34663.0;174794.0;0.6271;30995.68;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100148;16504.0;731952.0;38764.0;228451.0;25505.0;114551.0;0.6199;44349.98;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100155;38681.0;1275479.0;96937.0;216209.0;71311.0;352572.0;0.3378;32974.3;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100189;39053.0;2124340.0;305841.0;297492.0;207693.0;550816.0;0.2817;54396.33;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100205;514873.0;25402193.0;2851169.0;1041285.0;4625035.0;7555290.0;0.0788;49336.81;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100254;20518.0;776281.0;51497.0;183438.0;50710.0;140128.0;0.4901;37834.15;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100262;3753.0;265160.0;6198.0;115354.0;7564.0;18756.0;0.8142;70652.81;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100288;62559.0;2287631.0;181003.0;194673.0;171674.0;606268.0;0.2002;36567.58;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100296;7877.0;291887.0;8707.0;106980.0;13083.0;33188.0;0.6981;37055.6;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100304;108528.0;5115785.0;681852.0;674880.0;369206.0;1712252.0;0.2448;47137.93;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100320;22267.0;1549192.0;65762.0;381639.0;82318.0;199588.0;0.5752;69573.45;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100338;28496.0;1060566.0;32971.0;344263.0;21481.0;129299.0;0.6954;37218.07;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100346;13837.0;486626.0;15991.0;147689.0;11553.0;72543.0;0.6372;35168.46;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100379;12263.0;575129.0;20513.0;277664.0;18507.0;63694.0;0.7716;46899.54;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100403;17463.0;667923.0;32354.0;185477.0;24384.0;119576.0;0.563;38247.9;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100452;30729.0;1221008.0;73301.0;336953.0;35156.0;248229.0;0.5432;39734.71;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100502;8056.0;331958.0;11121.0;106736.0;12106.0;40100.0;0.6715;41206.31;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100601;4345.0;238989.0;7656.0;194610.0;3288.0;22239.0;0.884;55003.22;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100700;9225.0;455251.0;10988.0;204767.0;15949.0;32157.0;0.8098;49349.7;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100809;24163.0;1001610.0;37085.0;141452.0;133643.0;138507.0;0.342;41452.22;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100908;3456.0;138594.0;3220.0;56909.0;2351.0;8867.0;0.8353;40102.43;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100924;10129.0;673990.0;26740.0;224569.0;44525.0;70952.0;0.6604;66540.63;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1100940;15883.0;582148.0;26552.0;153670.0;44087.0;84329.0;0.5448;36652.27;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101005;8420.0;320123.0;7567.0;146346.0;5056.0;22483.0;0.8416;38019.36;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101104;9209.0;340162.0;10892.0;65085.0;14563.0;39827.0;0.5448;36938.0;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101203;6657.0;440282.0;21615.0;132934.0;14076.0;59932.0;0.6424;66138.2;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101302;9740.0;380179.0;16869.0;85084.0;14248.0;71351.0;0.4985;39032.75;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101401;12241.0;526990.0;20920.0;153360.0;23162.0;76036.0;0.6072;43051.22;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101435;6577.0;193557.0;5823.0;82596.0;3240.0;16675.0;0.8057;29429.38;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101450;4390.0;201510.0;5088.0;85286.0;3441.0;13907.0;0.831;45902.05;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101468;2311.0;355185.0;8203.0;178073.0;8909.0;24663.0;0.8414;153693.21;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101476;3279.0;131193.0;3634.0;62242.0;2158.0;10663.0;0.8292;40010.06;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101484;5605.0;177906.0;5630.0;62311.0;3163.0;18618.0;0.741;31740.59;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101492;17511.0;716411.0;29166.0;203490.0;17335.0;95719.0;0.6428;40912.06;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101500;12954.0;446997.0;23425.0;147309.0;11108.0;61163.0;0.6709;34506.48;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101559;4536.0;156426.0;5024.0;62959.0;3839.0;15260.0;0.7672;34485.45;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101609;8540.0;307754.0;8536.0;140069.0;5760.0;23489.0;0.8273;36036.77;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101708;11377.0;370214.0;13577.0;110938.0;9244.0;54174.0;0.6363;32540.56;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101757;8265.0;257311.0;8729.0;93455.0;6693.0;27970.0;0.7294;31132.61;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1101807;6843.0;225187.0;6737.0;100039.0;4130.0;20871.0;0.8001;32907.64;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200013;14657.0;502663.0;21128.0;157858.0;13439.0;91389.0;0.6009;34295.08;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200054;8573.0;187366.0;2575.0;44810.0;3944.0;20601.0;0.6461;21855.36;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200104;27841.0;929800.0;80025.0;185724.0;45440.0;171335.0;0.4614;33396.79;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200138;13766.0;365419.0;4780.0;168856.0;8391.0;36998.0;0.7881;26545.04;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200179;10922.0;530657.0;9387.0;342298.0;13142.0;52997.0;0.8381;48586.06;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200203;98382.0;2680143.0;194006.0;100357.0;167725.0;900140.0;0.0859;27242.21;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200252;19739.0;793427.0;70966.0;160895.0;22540.0;246925.0;0.3739;40195.91;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200302;37644.0;741344.0;17689.0;172858.0;24431.0;103190.0;0.5753;19693.55;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
1200328;9787.0;150648.0;1824.0;21977.0;2460.0;14031.0;0.5713;15392.66;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
