cod_ibge;ano_ref;fonte;receita_total;receita_corrente;receita_tributaria_propria;transferencias_correntes;resultado_orcamentario
1100015;2023;STN/SICONFI;34488924.21;34488924.21;1813187.98;31332748.9;
1100023;2023;STN/SICONFI;539844222.53;523424843.37;103506344.69;330930494.5;
1100031;2023;STN/SICONFI;48627228.14;44641250.25;2764856.06;39352260.16;
1100049;2023;STN/SICONFI;400470224.6;367351248.79;86608838.56;238633436.32;
1100056;2023;STN/SICONFI;119336366.65;96998804.03;14532718.7;77988525.11;
1100064;2023;STN/SICONFI;103636927.25;88245377.31;10196480.18;73354790.3;
1100072;2023;STN/SICONFI;76541292.6;72226958.07;10624531.24;56845402.76;
1100080;2023;STN/SICONFI;81601676.21;69450574.7;4185368.57;63238835.61;
1100098;2023;STN/SICONFI;146477583.28;133930486.32;14964068.28;105148608.56;
1100106;2023;STN/SICONFI;180392533.24;177594818.05;16014993.35;135538009.57;
1100114;2023;STN/SICONFI;271817817.2;257343617.58;37494874.73;169170366.91;
1100122;2023;STN/SICONFI;571278191.28;535005195.74;97575033.4;353580582.79;
1100130;2023;STN/SICONFI;180971837.45;161540658.55;17360899.79;122458375.02;
1100148;2023;STN/SICONFI;114036465.41;113636466.41;9724756.47;89782101.87;
1100155;2023;STN/SICONFI;206371966.44;196880736.14;21476261.99;142284269.08;
1100189;2023;STN/SICONFI;208000613.4;195719090.13;33219760.81;151378964.19;
1100205;2023;STN/SICONFI;2466501221.83;2377936955.06;465288405.78;1515321858.3;
1100254;2023;STN/SICONFI;105025151.75;90466917.03;9736992.66;76461971.31;
1100262;2023;STN/SICONFI;44146064.4;39958441.95;2395554.35;36420565.41;
1100288;2023;STN/SICONFI;292614665.0;255624878.09;47445359.15;168363184.07;
1100296;2023;STN/SICONFI;65635483.27;51442765.99;4528711.83;43336618.3;
1100304;2023;STN/SICONFI;592981688.59;564190727.57;112271607.49;334227127.54;
1100320;2023;STN/SICONFI;123936628.89;123876628.89;9213402.88;96572242.87;
1100338;2023;STN/SICONFI;189463774.76;150128320.89;9754191.06;121113557.31;
1100346;2023;STN/SICONFI;82737296.29;78536331.38;5261084.74;56830886.55;
1100379;2023;STN/SICONFI;80920756.95;72751714.79;5112421.28;61119561.55;
1100403;2023;STN/SICONFI;94133259.07;88153000.03;8367495.84;77069046.86;
1100452;2023;STN/SICONFI;165406323.81;148172907.08;15681829.38;109550963.67;
1100502;2023;STN/SICONFI;58906052.16;50812490.98;3876418.49;37817066.29;
1100601;2023;STN/SICONFI;52768490.79;45128746.98;3045389.7;34999388.47;
1100700;2023;STN/SICONFI;87957661.51;82286219.35;5130464.96;64316726.54;
1100809;2023;STN/SICONFI;110649703.1;103006338.6;9569178.85;90598938.32;
1100908;2023;STN/SICONFI;39136518.26;35845283.94;1316498.24;29901100.04;
1100924;2023;STN/SICONFI;94267265.67;89401202.77;11386821.19;74667020.21;
1100940;2023;STN/SICONFI;120743954.14;104449970.61;6507714.14;84971097.95;
1101005;2023;STN/SICONFI;61750050.49;57734404.62;3033438.58;47224060.11;
1101104;2023;STN/SICONFI;77063030.53;61825592.55;6777718.25;50963025.41;
1101203;2023;STN/SICONFI;50778063.54;47331425.46;2046347.55;43112787.49;
1101302;2023;STN/SICONFI;64423021.18;55377733.97;3904559.03;44111785.84;
1101401;2023;STN/SICONFI;98224609.15;88145689.45;6591411.88;69966264.12;
1101435;2023;STN/SICONFI;55899481.91;45616332.72;2275794.03;35770491.44;
1101450;2023;STN/SICONFI;43361106.87;38487474.38;1990360.82;34592287.47;
1101468;2023;STN/SICONFI;43366698.19;41106275.6;2646844.89;37274767.02;
1101476;2023;STN/SICONFI;38725195.96;32081645.99;1772014.89;28755347.24;
1101484;2023;STN/SICONFI;56704453.93;38076014.05;2360995.09;33992170.18;
1101492;2023;STN/SICONFI;126617942.68;118331924.29;7476513.46;92046348.12;
1101500;2023;STN/SICONFI;78159845.67;71402699.09;4472797.07;57541901.58;
1101559;2023;STN/SICONFI;38338336.69;35024248.51;2130319.15;30042769.88;
1101609;2023;STN/SICONFI;69617298.8;56699456.5;3284351.06;49671971.24;
1101708;2023;STN/SICONFI;83703828.86;78664266.86;5974886.39;68028271.34;
1101757;2023;STN/SICONFI;58221125.31;53047638.0;2888123.69;42179050.16;
1101807;2023;STN/SICONFI;47093752.83;45503249.8;3287479.47;36491248.99;
1200013;2023;STN/SICONFI;80504656.29;72873108.25;1764088.56;65566507.94;
1200054;2023;STN/SICONFI;55106661.66;54197758.66;2415133.63;50580905.62;
1200104;2023;STN/SICONFI;126738422.93;117746572.3;7777591.76;107677098.2;
1200138;2023;STN/SICONFI;53986967.25;47238796.47;2808515.29;41747256.58;
1200179;2023;STN/SICONFI;60754544.97;55128378.12;2571491.78;50778451.07;
1200203;2023;STN/SICONFI;370660270.54;324713421.09;30322595.21;277822643.29;
1200252;2023;STN/SICONFI;87724504.71;75724109.15;5274246.61;68759374.01;
1200302;2023;STN/SICONFI;108581371.61;107012703.61;9214962.71;93841977.21;
1200328;2023;STN/SICONFI;56861737.85;50847477.82;1030510.62;48014387.46;
1200336;2023;STN/SICONFI;86319443.46;80337804.15;3617982.04;72461221.21;
1200344;2023;STN/SICONFI;57975653.77;51948029.05;3165346.71;46945745.39;
1200351;2023;STN/SICONFI;89556541.54;82988003.1;2197880.63;79303381.92;
1200385;2023;STN/SICONFI;78011962.38;70038648.25;3702817.31;64767376.9;
1200393;2023;STN/SICONFI;74267470.53;63432259.31;1626438.25;60039144.9;
1200401;2023;STN/SICONFI;1906891077.11;1861143363.78;272836058.31;1222729233.64;
1200427;2023;STN/SICONFI;106180812.2;88402176.52;2776643.84;83692683.9;
1200435;2023;STN/SICONFI;48423126.39;46200285.39;686449.63;43885847.24;
1200450;2023;STN/SICONFI;96251990.78;78421151.51;7258966.21;68916583.69;
1200500;2023;STN/SICONFI;182768374.35;168169522.16;9251303.35;155654820.57;
1200609;2023;STN/SICONFI;168557808.73;147492297.81;14462946.17;129304065.15;
1200708;2023;STN/SICONFI;70007752.9;69396752.9;3796498.72;64120659.94;
1200807;2023;STN/SICONFI;71075605.31;67367375.31;2333221.49;62362587.42;
1300029;2023;STN/SICONFI;126092009.24;115589261.96;2505675.26;111122186.61;
1300060;2023;STN/SICONFI;67775575.93;64837855.08;1383272.49;62151117.27;
1300086;2023;STN/SICONFI;70502744.3;69176699.28;1055903.8;67189702.67;
1300102;2023;STN/SICONFI;104265369.45;96592163.13;2386935.0;91829573.61;
1300144;2023;STN/SICONFI;97176804.46;83937977.41;4528974.18;75774653.1;
