cod_tse_municipio;nome_municipio_tse;sigla_uf;mandato;nome_gestor;nome_urna;partido;situacao;fonte
57991;ÁGUIA BRANCA;ES;2025-2028;JAILSON JOSE QUIUQUI;JAILSON QUIUQUI;PP;ELEITO;TSE (dados abertos)
56316;CONCEIÇÃO DA BARRA;ES;2025-2028;JOSE ERIVAN TAVARES DE MORAES;ERIVAN TAVARES;PSB;ELEITO;TSE (dados abertos)
56332;CONCEIÇÃO DO CASTELO;ES;2025-2028;VALBER DE VARGAS FERREIRA;VALBER VARGAS VALBINHO;PSB;ELEITO;TSE (dados abertos)
56790;PANCAS;ES;2025-2028;AGMAIR ARAUJO NASCIMENTO;GUIMA;PP;ELEITO;TSE (dados abertos)
56596;IÚNA;ES;2025-2028;ROMÁRIO BATISTA VIEIRA;ROMÁRIO;PODE;ELEITO;TSE (dados abertos)
56138;ATÍLIO VIVÁCQUA;ES;2025-2028;HELIO HUMBERTO LIMA FILHO;HELINHO LIMA;PSB;ELEITO;TSE (dados abertos)
56120;MARATAÍZES;ES;2025-2028;ANTONIO BITENCOURT;TONINHO BITENCOURT;PODE;ELEITO;TSE (dados abertos)
56510;ICONHA;ES;2025-2028;GEDSON BRANDAO PAULINO;GEDSON BRANDAO PAULINO;REPUBLICANOS;ELEITO;TSE (dados abertos)
56650;MANTENÓPOLIS;ES;2025-2028;LUCIO MARQUES DE MORAIS;DOUTOR LUCIO;PSDB;ELEITO;TSE (dados abertos)
56936;SÃO GABRIEL DA PALHA;ES;2025-2028;TIAGO ROCHA;TIAGO ROCHA;PL;ELEITO;TSE (dados abertos)
57096;IBATIBA;ES;2025-2028;LUIS CARLOS PANCOTI;DR LUIS PANCOTI;PL;ELEITO;TSE (dados abertos)
56634;LINHARES;ES;2025-2028;LUCAS SCARAMUSSA;LUCAS SCARAMUSSA;PODE;ELEITO;TSE (dados abertos)
56057;ALFREDO CHAVES;ES;2025-2028;HUGO LUIZ PICOLI MENEGHEL;HUGO LUIZ;PP;ELEITO;TSE (dados abertos)
56952;SÃO JOSÉ DO CALÇADO;ES;2025-2028;ANTÔNIO COIMBRA DE ALMEIDA;CUÍCA;PSB;ELEITO;TSE (dados abertos)
57010;VIANA;ES;2025-2028;WANDERSON BORGHARDT BUENO;WANDERSON BUENO;PODE;ELEITO;TSE (dados abertos)
56359;DIVINO DE SÃO LOURENÇO;ES;2025-2028;LUCIANO FARIA QUEIROZ;DUDU QUEIRÓZ;PSB;ELEITO;TSE (dados abertos)
56278;CASTELO;ES;2025-2028;JOÃO PAULO SILVA NALI;JOÃO PAULO NALI;REPUBLICANOS;ELEITO;TSE (dados abertos)
56979;SÃO MATEUS;ES;2025-2028;MARCUS AZEVEDO BATISTA;MARCUS DA COZIVIP;PODE;ELEITO;TSE (dados abertos)
56375;DOMINGOS MARTINS;ES;2025-2028;EDUARDO JOSE RAMOS;EDU DO RESTAURANTE;PL;ELEITO;TSE (dados abertos)
56855;PRESIDENTE KENNEDY;ES;2025-2028;DORLEI FONTAO DA CRUZ;DORLEI FONTÃO;PSB;ELEITO;TSE (dados abertos)
56812;PINHEIROS;ES;2025-2028;EDILSON MORAIS MONTEIRO;EDILSON MONTEIRO;PSB;ELEITO;TSE (dados abertos)
56219;BOM JESUS DO NORTE;ES;2025-2028;ANTONIO GUALHANO AZEVEDO;TONINHO GUALHANO;PSB;ELEITO;TSE (dados abertos)
56456;GUAÇUÍ;ES;2025-2028;VAGNER RODRIGUES PEREIRA;VAGNER RODRIGUES;PP;ELEITO;TSE (dados abertos)
56391;DORES DO RIO PRETO;ES;2025-2028;THIAGO LOPES PESSOTTI;THIAGUINHO;PP;ELEITO;TSE (dados abertos)
56871;RIO NOVO DO SUL;ES;2025-2028;JOCENEI MARCONCINI CASTELARI;NEI CASTELARI;PODE;ELEITO;TSE (dados abertos)
56065;ALTO RIO NOVO;ES;2025-2028;ALEXANDRO DE MELO VALIM;ALEXANDRO DA PADARIA;PSD;ELEITO;TSE (dados abertos)
56014;AFONSO CLÁUDIO;ES;2025-2028;LUCIANO RONCETTI PIMENTA;LUCIANO PIMENTA;PP;ELEITO;TSE (dados abertos)
56553;ITAPEMIRIM;ES;2025-2028;GENESIS ALVES BECHARA;GENINHO;PDT;ELEITO;TSE (dados abertos)
56162;SÃO ROQUE DO CANAÃ;ES;2025-2028;MARCOS GERALDO GUERRA;MARCOS GUERRA;PSDB;ELEITO;TSE (dados abertos)
57959;VARGEM ALTA;ES;2025-2028;ELIESER RABELLO;ELIESER ;MDB;ELEITO;TSE (dados abertos)
57150;PEDRO CANÁRIO;ES;2025-2028;KLEILSON MARTINS REZENDE;KLEILSON REZENDE;PSB;ELEITO;TSE (dados abertos)
56570;ITARANA;ES;2025-2028;VANDER PATRICIO;VANDER ENFERMEIRO;PSB;ELEITO;TSE (dados abertos)
56111;ARACRUZ;ES;2025-2028;LUIZ CARLOS COUTINHO;DR COUTINHO;PP;ELEITO;TSE (dados abertos)
56030;ALEGRE;ES;2025-2028;NEMROD EMERICK;NIRRÔ;PP;ELEITO;TSE (dados abertos)
56154;BAIXO GUANDU;ES;2025-2028;LASTENIO LUIZ CARDOSO;LASTENIO CARDOSO;MDB;ELEITO;TSE (dados abertos)
56235;CACHOEIRO DE ITAPEMIRIM;ES;2025-2028;THEODORICO DE ASSIS FERRAÇO;FERRAÇO;PP;ELEITO;TSE (dados abertos)
