cod_municipio;uf;modulo_fiscal_ha;numero_estabelecimentos_censo;area_estabelecimentos_censo_ha;valor_producao_florestal;produto_florestal_predominante;silvicultura_presente;ano_referencia_pevs
1100015;RO;60.0;2886.0;372746.0;;;False;2025
1100023;RO;60.0;2928.0;334256.0;243.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1100031;RO;60.0;1075.0;113085.0;;;False;2025
1100049;RO;60.0;3814.0;221390.0;;;False;2025
1100056;RO;60.0;719.0;126686.0;1008.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1100064;RO;60.0;1674.0;139796.0;;;False;2025
1100072;RO;60.0;1489.0;273086.0;;;False;2025
1100080;RO;60.0;1500.0;220177.0;;;False;2025
1100098;RO;60.0;2000.0;247331.0;;;False;2025
1100106;RO;60.0;602.0;70487.0;;;False;2025
1100114;RO;60.0;3548.0;250653.0;;;False;2025
1100122;RO;60.0;2544.0;215375.0;;;False;2025
1100130;RO;60.0;4272.0;300762.0;;;False;2025
1100148;RO;60.0;3010.0;156002.0;;;False;2025
1100155;RO;60.0;2159.0;152422.0;;;False;2025
1100189;RO;60.0;1241.0;274321.0;;;False;2025
1100205;RO;60.0;5177.0;778218.0;;;False;2025
1100254;RO;60.0;2105.0;124134.0;;;False;2025
1100262;RO;60.0;492.0;136003.0;;;False;2025
1100288;RO;60.0;2038.0;123887.0;9765.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1100296;RO;60.0;1023.0;84667.0;;;False;2025
1100304;RO;60.0;1580.0;250110.0;3698.0;2.3 - Resina;True;2025
1100320;RO;60.0;2487.0;190475.0;;;False;2025
1100338;RO;60.0;2117.0;251318.0;;;False;2025
1100346;RO;60.0;1825.0;148755.0;;;False;2025
1100379;RO;60.0;1975.0;144821.0;;;False;2025
1100403;RO;60.0;2619.0;195634.0;;;False;2025
1100452;RO;60.0;2830.0;237350.0;;;False;2025
1100502;RO;60.0;1347.0;69661.0;;;False;2025
1100601;RO;60.0;903.0;170893.0;;;False;2025
1100700;RO;60.0;1918.0;196865.0;;;False;2025
1100809;RO;60.0;1240.0;182933.0;;;False;2025
1100908;RO;60.0;577.0;52056.0;;;False;2025
1100924;RO;60.0;1045.0;352500.0;;;False;2025
1100940;RO;60.0;1897.0;194385.0;;;False;2025
1101005;RO;60.0;1693.0;132212.0;;;False;2025
1101104;RO;60.0;764.0;84682.0;;;False;2025
1101203;RO;60.0;1201.0;60545.0;;;False;2025
1101302;RO;60.0;1242.0;56423.0;;;False;2025
1101401;RO;60.0;1554.0;143393.0;;;False;2025
1101435;RO;60.0;1387.0;61657.0;;;False;2025
1101450;RO;60.0;642.0;131376.0;;;False;2025
1101468;RO;60.0;304.0;207432.0;;;False;2025
1101476;RO;60.0;401.0;64398.0;;;False;2025
1101484;RO;60.0;797.0;41452.0;3913.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1101492;RO;60.0;1950.0;255020.0;;;False;2025
1101500;RO;60.0;1677.0;117576.0;;;False;2025
1101559;RO;60.0;738.0;40242.0;;;False;2025
1101609;RO;60.0;2160.0;219207.0;;;False;2025
1101708;RO;60.0;1623.0;56977.0;;;False;2025
1101757;RO;60.0;1707.0;120711.0;;;False;2025
1101807;RO;60.0;942.0;73342.0;;;False;2025
1200013;AC;100.0;1462.0;152246.0;;;False;2025
1200054;AC;100.0;523.0;69947.0;;;False;2025
1200104;AC;100.0;2100.0;337267.0;;;False;2025
1200138;AC;70.0;1404.0;264480.0;;;False;2025
1200179;AC;70.0;1289.0;156800.0;;;False;2025
1200203;AC;100.0;3264.0;132413.0;;;False;2025
1200252;AC;100.0;1454.0;172858.0;;;False;2025
1200302;AC;100.0;2968.0;346175.0;;;False;2025
1200328;AC;100.0;484.0;20682.0;;;False;2025
1200336;AC;100.0;1088.0;34151.0;;;False;2025
1200344;AC;100.0;645.0;86082.0;;;False;2025
1200351;AC;100.0;1677.0;36255.0;;;False;2025
1200385;AC;100.0;1346.0;165281.0;;;False;2025
1200393;AC;100.0;1116.0;37392.0;;;False;2025
1200401;AC;70.0;4106.0;512655.0;;;False;2025
1200427;AC;100.0;1292.0;46309.0;;;False;2025
1200435;AC;100.0;632.0;28049.0;;;False;2025
1200450;AC;100.0;1454.0;177215.0;;;False;2025
1200500;AC;100.0;2682.0;378724.0;;;False;2025
1200609;AC;100.0;2904.0;377807.0;;;False;2025
1200708;AC;100.0;1887.0;494036.0;;;False;2025
1200807;AC;70.0;1579.0;205876.0;;;False;2025
1300029;AM;100.0;1002.0;8686.0;;;False;2025
1300060;AM;100.0;538.0;6340.0;;;False;2025
1300086;AM;100.0;622.0;14032.0;;;False;2025
1300102;AM;100.0;749.0;21664.0;;;False;2025
1300144;AM;100.0;1091.0;338777.0;;;False;2025
1300201;AM;100.0;1252.0;12617.0;;;False;2025
1300300;AM;80.0;2583.0;169558.0;;;False;2025
1300409;AM;100.0;932.0;7666.0;;;False;2025
1300508;AM;80.0;1579.0;49256.0;;;False;2025
1300607;AM;100.0;1210.0;5687.0;;;False;2025
1300631;AM;80.0;1017.0;28382.0;;;False;2025
1300680;AM;80.0;1119.0;50141.0;;;False;2025
1300706;AM;100.0;3373.0;330681.0;;;False;2025
1300805;AM;100.0;1732.0;39667.0;;;False;2025
1300839;AM;80.0;213.0;3619.0;;;False;2025
1300904;AM;100.0;1029.0;157963.0;;;False;2025
1301001;AM;100.0;1505.0;266090.0;;;False;2025
1301100;AM;80.0;2291.0;95428.0;;;False;2025
1301159;AM;80.0;1842.0;64705.0;;;False;2025
1301209;AM;100.0;2173.0;73094.0;;;False;2025
1301308;AM;100.0;1130.0;69653.0;;;False;2025
