cod_municipio;uf;modulo_fiscal_ha;numero_estabelecimentos_censo;area_estabelecimentos_censo_ha;valor_producao_florestal;produto_florestal_predominante;silvicultura_presente;ano_referencia_pevs;quantidade_cadastros_car;area_car_uniao_ha;percentual_sobreposicao_car;mediana_modulos_fiscais_car;percentual_pequenos_imoveis_car;percentual_medios_imoveis_car;percentual_grandes_imoveis_car;percentual_area_pequenos_imoveis_car;percentual_area_medios_imoveis_car;percentual_area_grandes_imoveis_car;mapbiomas_agricultura_ha;mapbiomas_pastagem_ha;mapbiomas_silvicultura_ha
1100015;RO;60.0;2886.0;372746.0;;;False;2025;4568.0;439100.7404;18.13;0.4746;91.84;6.94;1.22;39.58;30.49;29.93;1008.8960999999999;232256.2505;
1100023;RO;60.0;2928.0;334256.0;243.0;1.3.2 - Madeira em tora para outras finalidades;True;2025;5083.0;825985.3033;25.71;0.6813;91.43;7.11;1.46;45.05;28.45;26.5;7299.9302;280931.7648;
1100031;RO;60.0;1075.0;113085.0;;;False;2025;1940.0;118892.7645;25.71;0.5259;96.31;3.15;0.54;64.61;17.35;18.04;26492.343800000002;63319.1823;0.6092
1100049;RO;60.0;3814.0;221390.0;;;False;2025;5983.0;247863.4467;11.46;0.3661;98.13;1.49;0.38;75.07;14.11;10.82;1766.5846000000001;228880.2537;
1100056;RO;60.0;719.0;126686.0;1008.0;1.3.2 - Madeira em tora para outras finalidades;True;2025;1664.0;153608.2216;20.81;0.7309;92.14;5.54;2.32;42.1;24.54;33.36;35586.2914;50084.2807;
1100064;RO;60.0;1674.0;139796.0;;;False;2025;2897.0;320398.5426;28.19;0.5029;98.57;1.11;0.32;82.03;9.64;8.33;4384.3466;104626.0288;8.4486
1100072;RO;60.0;1489.0;273086.0;;;False;2025;2651.0;298139.4053;32.29;0.5472;97.01;1.35;1.63;30.58;4.97;64.45;51004.3603;149396.1552;
1100080;RO;60.0;1500.0;220177.0;;;False;2025;2646.0;330611.5773;24.16;0.9415;92.11;6.05;1.85;45.97;22.59;31.45;356.9787;190692.8861;
1100098;RO;60.0;2000.0;247331.0;;;False;2025;3804.0;284136.847;19.15;0.5465;94.0;4.57;1.43;50.85;23.45;25.7;1335.8495;193763.1468;
1100106;RO;60.0;602.0;70487.0;;;False;2025;2221.0;755273.5245;16.37;1.0128;90.1;8.88;1.02;14.28;7.46;78.26;16.4155;131943.2253;
1100114;RO;60.0;3548.0;250653.0;;;False;2025;5122.0;413262.7184;33.39;0.6071;99.02;0.96;0.02;91.8;7.79;0.41;134.8521;247223.0501;
1100122;RO;60.0;2544.0;215375.0;;;False;2025;5670.0;291180.4992;17.2;0.4287;98.43;1.35;0.22;77.38;10.53;12.09;347.9847;223483.439;
1100130;RO;60.0;4272.0;300762.0;;;False;2025;9016.0;785640.9171;50.83;0.6535;96.74;2.21;1.05;38.3;8.15;53.55;6963.2903;339286.2987;
1100148;RO;60.0;3010.0;156002.0;;;False;2025;4137.0;150055.6612;22.17;0.3707;98.23;1.45;0.32;68.22;12.38;19.4;575.187;124789.7172;
1100155;RO;60.0;2159.0;152422.0;;;False;2025;3729.0;177270.2042;15.84;0.5837;99.09;0.75;0.17;85.2;5.38;9.42;166.84750000000003;170420.4739;
1100189;RO;60.0;1241.0;274321.0;;;False;2025;3865.0;578273.1912;21.55;0.854;86.76;8.92;4.32;30.32;23.51;46.17;1812.6734;247748.8518;
1100205;RO;60.0;5177.0;778218.0;;;False;2025;25308.0;2196110.4638;32.42;0.6804;93.69;5.06;1.25;39.79;17.81;42.4;15730.466;1113404.0617;
1100254;RO;60.0;2105.0;124134.0;;;False;2025;4023.0;156834.64;15.15;0.4168;98.8;0.88;0.31;78.74;7.56;13.7;96.4511;143516.0215;
1100262;RO;60.0;492.0;136003.0;;;False;2025;1267.0;159654.934;19.28;0.9705;86.45;10.57;2.98;35.65;26.97;37.38;12730.935699999998;88515.8822;
1100288;RO;60.0;2038.0;123887.0;9765.0;1.3.2 - Madeira em tora para outras finalidades;True;2025;3902.0;486549.9545;23.11;0.3452;99.02;0.93;0.05;89.82;8.68;1.5;4022.8512;113797.1419;
1100296;RO;60.0;1023.0;84667.0;;;False;2025;1949.0;111445.1826;20.94;0.3979;96.86;1.84;1.3;51.1;14.31;34.58;3229.892;85062.9808;
1100304;RO;60.0;1580.0;250110.0;3698.0;2.3 - Resina;True;2025;5979.0;460044.0548;26.73;0.2262;93.38;4.47;2.15;33.37;22.34;44.29;46521.1199;128453.51139999999;811.9684
1100320;RO;60.0;2487.0;190475.0;;;False;2025;4765.0;208259.4811;18.25;0.4136;97.12;2.49;0.39;64.67;23.47;11.86;15302.876100000001;162939.5987;
1100338;RO;60.0;2117.0;251318.0;;;False;2025;7214.0;476357.9515;38.44;0.8485;96.9;2.66;0.44;61.93;10.73;27.34;1897.8824;448885.3261;
1100346;RO;60.0;1825.0;148755.0;;;False;2025;3823.0;165137.4341;11.73;0.4496;98.46;1.48;0.05;85.41;12.64;1.95;561.1381;147526.9992;
1100379;RO;60.0;1975.0;144821.0;;;False;2025;2748.0;175861.8563;16.35;0.3846;93.36;5.93;0.71;50.06;35.7;14.24;1980.6845;128296.238;
1100403;RO;60.0;2619.0;195634.0;;;False;2025;4376.0;225923.5373;23.35;0.8025;97.57;2.15;0.28;78.07;13.25;8.67;13026.842799999999;182641.1734;
1100452;RO;60.0;2830.0;237350.0;;;False;2025;4494.0;300753.7773;41.52;0.6187;96.8;2.7;0.5;52.98;13.11;33.92;93.5887;269764.2839;
1100502;RO;60.0;1347.0;69661.0;;;False;2025;2310.0;78640.9036;19.47;0.4158;98.98;0.71;0.31;77.65;7.54;14.81;1708.6869;68402.3401;
1100601;RO;60.0;903.0;170893.0;;;False;2025;1921.0;352562.269;32.02;1.1037;86.56;12.56;0.88;52.15;34.8;13.05;15.5768;135856.2484;
1100700;RO;60.0;1918.0;196865.0;;;False;2025;3252.0;230299.9821;35.48;0.6947;95.68;3.26;1.07;44.26;13.77;41.97;203.5139;203047.9635;
1100809;RO;60.0;1240.0;182933.0;;;False;2025;5898.0;499781.0947;36.53;0.7547;90.83;7.97;1.2;36.21;24.64;39.15;11303.5851;258436.2858;
1100908;RO;60.0;577.0;52056.0;;;False;2025;1250.0;79541.5883;13.94;0.6332;96.16;3.41;0.43;67.96;22.92;9.12;2696.7801;60333.6707;
1100924;RO;60.0;1045.0;352500.0;;;False;2025;2279.0;362087.5128;22.15;0.781;91.22;4.27;4.5;24.66;11.15;64.19;34881.0702;222568.5085;
1100940;RO;60.0;1897.0;194385.0;;;False;2025;3482.0;330191.8351;31.81;0.8032;91.56;7.77;0.67;42.85;22.75;34.41;13323.7967;230343.3645;
1101005;RO;60.0;1693.0;132212.0;;;False;2025;3822.0;182531.212;25.36;0.6131;98.92;0.9;0.18;84.35;9.27;6.38;52.2227;141535.6036;
1101104;RO;60.0;764.0;84682.0;;;False;2025;2015.0;432449.235;13.03;0.741;95.84;3.65;0.51;20.56;7.29;72.15;3294.6059999999998;82762.1744;
1101203;RO;60.0;1201.0;60545.0;;;False;2025;1849.0;73220.5017;12.76;0.4215;98.33;1.5;0.17;81.35;12.64;6.01;73.8977;63411.2412;
1101302;RO;60.0;1242.0;56423.0;;;False;2025;2171.0;64732.8552;20.13;0.4067;99.66;0.29;0.05;94.75;3.96;1.29;61.0089;63396.5071;
1101401;RO;60.0;1554.0;143393.0;;;False;2025;3227.0;166498.0873;24.23;0.6831;98.14;1.57;0.29;81.59;9.64;8.77;32.844;139953.4237;
1101435;RO;60.0;1387.0;61657.0;;;False;2025;2048.0;73529.8083;32.92;0.4081;99.75;0.2;0.05;84.36;1.65;13.99;12.8212;71100.402;
1101450;RO;60.0;642.0;131376.0;;;False;2025;1881.0;235150.8032;24.27;0.479;91.57;3.08;5.34;27.17;9.66;63.18;1658.833;126468.5251;
1101468;RO;60.0;304.0;207432.0;;;False;2025;1211.0;529148.5183;26.44;1.5614;79.47;11.5;9.03;14.05;12.63;73.32;41490.825300000004;88380.6648;
1101476;RO;60.0;401.0;64398.0;;;False;2025;879.0;55486.0261;21.2;0.5067;96.8;2.25;0.95;60.86;13.97;25.17;641.3723;44135.2408;
1101484;RO;60.0;797.0;41452.0;3913.0;1.3.2 - Madeira em tora para outras finalidades;True;2025;1377.0;61618.2751;26.27;0.2488;98.73;0.6;0.67;41.92;5.06;53.02;423.659;45015.6278;
1101492;RO;60.0;1950.0;255020.0;;;False;2025;3074.0;428574.2701;23.09;0.8511;89.5;8.35;2.15;41.17;28.43;30.4;3108.3957;242479.2469;
1101500;RO;60.0;1677.0;117576.0;;;False;2025;3017.0;200907.2142;33.54;0.4903;95.52;4.08;0.4;56.43;26.42;17.15;4528.8498;135133.4653;
1101559;RO;60.0;738.0;40242.0;;;False;2025;1152.0;38970.2254;14.59;0.4079;99.55;0.45;0.0;95.2;4.8;0.0;10.0116;40862.7003;
1101609;RO;60.0;2160.0;219207.0;;;False;2025;3381.0;193859.7515;19.58;0.486;97.15;1.9;0.95;56.98;14.27;28.76;756.173;167305.6981;
1101708;RO;60.0;1623.0;56977.0;;;False;2025;2820.0;105275.4729;37.88;0.3894;99.45;0.47;0.07;74.08;5.7;20.22;25.1889;70488.4307;
1101757;RO;60.0;1707.0;120711.0;;;False;2025;3125.0;216875.7598;43.81;0.7998;99.39;0.38;0.24;62.29;1.7;36.01;641.2184;121483.8311;
