uf;municipios;cobertura_car;vn_ha;vn_ref_ha;vn_razao;vn_lida;vn_r;ac_ha;ac_ref_ha;ac_razao;ac_lida;ac_r;sinais
AC;22;0.7454270934573208;8320937.497744575;13882156.7818;0.5993980350844056;0.8041001465406542;0.8413871311426554;2133500.0715053156;2424675.5586000006;0.8799115675241892;0.8799115675241892;0.9827461335924226;
AL;102;0.7385074914854701;311543.5294632172;613803.9194999998;0.5075619747052093;0.6872807392708695;0.8392719524469751;1618211.8293143702;2068872.4818999995;0.7821708894442087;0.7821708894442087;0.9388511148141718;
AM;62;0.5517688570232119;52621001.23860973;148085504.8772;0.35534201191565457;0.6440051978154795;0.7365976621664739;2986015.5178211937;2937745.6235;1.0164309305526886;1.0164309305526886;0.9156766592604814;
AP;16;0.36324003160405893;2116075.1539475997;13604629.5299;0.1555408141983528;0.4282039441288683;0.03830129086998899;780226.0798129209;176396.07510000002;4.423148754135294;4.423148754135294;0.5470610677478784;"vn 0.43; vn r=0.04; ac 4.42; ac r=0.55"
BA;417;0.5898913633607135;16477453.711947728;30415373.3535;0.5417475406413714;0.9183852727643641;0.9514090677492772;13703859.577743242;24852649.369;0.5514043744099484;0.5514043744099484;0.9465613938723194;
CE;184;0.7703781384022597;5484634.579255935;9878063.4449;0.5552337874573611;0.720728898939031;0.9038740571781668;3652572.348986565;4468008.172700001;0.8174945541291007;0.8174945541291007;0.8110144060025399;
DF;1;;186256.22240351676;276143.0159;0.67449188166673;;;280070.76409297984;225410.19040000002;1.242493800284638;1.242493800284638;;
ES;78;0.7975544493890515;820105.7950549709;1182611.1182000001;0.6934703914362124;0.8694959848414483;0.9662157979024152;2832467.88721777;3284393.7786;0.8624020376829276;0.8624020376829276;0.9859103282488966;
GO;246;0.8755294479053269;9335545.359874109;11994394.467899999;0.7783256907931755;0.8889771699344803;0.9740220857136163;19016159.699625418;21306990.3262;0.8924845512433692;0.8924845512433692;0.9931226386962829;
MA;217;0.8652692080892164;11087422.024643306;20986445.729100004;0.5283134727892195;0.6105769948244201;0.9327586183614772;12600473.302657219;11233756.7619;1.121661574994442;1.121661574994442;0.9400835445909674;
MG;853;0.8680295477578966;14905686.779308625;23459463.54;0.6353805471251891;0.7319803211381049;0.9601993262140543;28764166.46511967;33744118.461500004;0.8524201483567527;0.8524201483567527;0.9748701181547256;
MS;79;0.7611570164297223;12501049.156424057;14257570.838800002;0.876800774673634;1.1519315407303863;0.9983192662096108;18548042.06520606;20745557.061400004;0.894072982003326;0.894072982003326;0.9331821096442293;
MT;142;0.8218139388559552;37894784.076487854;55228349.717;0.6861473187351703;0.8349180833928833;0.8943591525338136;31062063.333959512;34165986.6465;0.909151655865953;0.909151655865953;0.9610046694164864;
PA;144;0.5404631925054912;27070387.921684496;96919557.49190001;0.2793077952708037;0.5167933712117978;0.7447012132924711;22980788.422464017;22935653.167900003;1.0019679079655417;1.0019679079655417;0.9354009814403957;
PB;223;0.7454667984055818;1718130.2955773734;2971535.227;0.578196172795152;0.7756162635704349;0.8899373114629899;1798952.1442968016;2535810.1185;0.7094191048346042;0.7094191048346042;0.8629469467275562;
PE;185;0.7579958445680407;2344817.65722749;5220515.8572;0.44915439802631346;0.5925552247351346;0.9581916989820515;3607975.34127669;4278250.4152999995;0.8433296303493005;0.8433296303493005;0.9087366731240015;
PI;224;0.7341384849439538;12109522.320537925;20167179.7742;0.6004569035492862;0.8179068607132436;0.9501474034173544;3846613.202569321;4718340.0868;0.8152471275503398;0.8152471275503398;0.9289802854297113;
PR;399;0.8910542980577987;3821296.89626728;5456214.739800001;0.7003567635256509;0.7859866284829052;0.9374913546868447;11866295.899560409;13720696.791100001;0.8648464491437156;0.8648464491437156;0.9801615744815634;
RJ;92;0.7235488930826771;743924.1951734883;1461784.5841;0.5089150640013842;0.703359605503857;0.9055949355880099;1620802.4396858013;2525556.8249999993;0.6417604322507381;0.6417604322507381;0.9897889644423951;
RN;167;0.7956544845379342;1892254.6019567442;2434211.2225;0.7773584249658285;0.9770050192292564;0.8956331833070206;1369612.8963768065;2460119.8858;0.5567260783843572;0.5567260783843572;0.853461967176536;
RO;52;0.6694172800286373;4938148.76426277;14152596.920200003;0.34892174150841176;0.5212320504984351;0.7820246551508565;7687796.6957509965;9284316.19;0.8280412405634578;0.8280412405634578;0.9774225743854595;
RR;15;0.3297559813646633;3614500.178294572;20807621.5287;0.17371039613100822;0.526784670931895;0.8287449173355644;1239586.5118774145;1043947.2955000001;1.18740334614662;1.18740334614662;0.5178275720298207;ac r=0.52
RS;497;0.8671284058901415;4309993.845840646;12149055.6672;0.35475957670329555;0.40912000378896696;0.9254328227341623;17620477.59297136;13575386.9797;1.2979723980848723;1.2979723980848723;0.9321967236460574;vn 0.41
SC;295;0.8418003397548265;2289071.03562518;4314843.973;0.5305107322417612;0.6302096912865014;0.6965171303692664;4895321.053675663;4815321.1536;1.016613616729562;1.016613616729562;0.8436102057586182;vn r=0.70
SE;75;0.5748913964950705;188934.4254907791;493959.7351;0.38248952711202294;0.6653248412551303;0.8441871123056774;1152869.9158242005;1575936.2677000002;0.7315460272430663;0.7315460272430663;0.9868466497435233;
SP;645;0.8790818915968663;3769683.758915742;5339058.415399999;0.7060577850286208;0.803176349982657;0.895375955683915;12154154.157225117;17966754.2505;0.6764802360942226;0.6764802360942226;0.9665248907783892;
TO;139;0.8026926520945075;11895075.658170607;17362687.379;0.685094156136082;0.8534949888334351;0.83643121440589;8145286.208172571;9957474.541100001;0.8180072341186988;0.8180072341186988;0.9650933365893292;
