cod_uf;populacao;pib_total;impostos_liquidos;vab_agropecuaria;vab_industria;vab_servicos;pct_agro_no_pib;pib_per_capita;ano_ref;ano_ref_vab;fonte
11;1746227;76456179.0;7115001.0;10581030.0;7708393.0;19662492.0;0.2788;43783.64;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
12;880631;26291321.0;2078713.0;3637871.0;1371816.0;7652757.0;0.2873;29855.09;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
13;4281209;161794976.0;22293794.0;5631734.0;41858993.0;39019250.0;0.0651;37791.89;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
14;716793;25124805.0;1892880.0;1234389.0;1535729.0;6368835.0;0.1351;35051.69;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
15;8664306;254546511.0;22807731.0;24296591.0;111321133.0;64743381.0;0.1213;29378.75;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
16;802837;28020120.0;1594405.0;346361.0;2365599.0;7215090.0;0.0349;34901.38;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
17;1577342;64317699.0;5085449.0;13364375.0;5000272.0;15959034.0;0.3894;40776.0;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
21;7010960;149227195.0;14750805.0;13885862.0;21733198.0;46190740.0;0.1697;21284.84;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
22;3375646;80916856.0;6539435.0;7821685.0;8222965.0;24184665.0;0.1944;23970.78;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
23;9233656;232239257.0;27827910.0;10410352.0;34230713.0;83990541.0;0.0809;25151.39;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
24;3446071;101740275.0;9116401.0;3141755.0;14728096.0;32321165.0;0.0626;29523.56;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
25;4145040;96963174.0;9703973.0;3190466.0;10071557.0;32576435.0;0.0696;23392.58;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
26;9539029;270474919.0;34948359.0;9605117.0;40694065.0;90257702.0;0.0683;28354.55;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
27;3220104;89688932.0;7773571.0;16829600.0;9432169.0;26317884.0;0.3201;27852.81;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
28;2291077;60816662.0;5966501.0;2758532.0;10223715.0;19854437.0;0.084;26545.01;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
29;14850513;430987853.0;45293967.0;34058220.0;76494697.0;137724666.0;0.1372;29021.75;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
31;21322691;971977551.0;103527643.0;55849923.0;258629586.0;332409799.0;0.0863;45584.19;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
32;4102129;209829732.0;30692347.0;7014830.0;59642699.0;68524167.0;0.0519;51151.42;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
33;17219679;1172871443.0;129454667.0;4375468.0;292743438.0;377139325.0;0.0065;68112.27;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
35;45973194;3444814033.0;473385800.0;46193518.0;518292532.0;1474964197.0;0.0226;74930.93;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
41;11824665;670919162.0;75383503.0;61711282.0;130065817.0;223838590.0;0.1485;56738.96;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
42;8058441;513392973.0;81036009.0;23433284.0;95420339.0;186568806.0;0.0767;63708.72;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
43;11229915;650107022.0;79179201.0;74967475.0;121123407.0;238271769.0;0.1726;57890.64;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
50;2901895;184402118.0;16259773.0;32138406.0;25468386.0;47448445.0;0.3059;63545.41;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
51;3836399;273008586.0;23045622.0;79882439.0;32177974.0;73276756.0;0.431;71162.72;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
52;7350483;336746975.0;31474136.0;42437487.0;53006223.0;105981332.0;0.2107;45812.9;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
53;2982818;365669108.0;29915404.0;2286948.0;10235490.0;127696742.0;0.0163;122591.83;2023;2021;IBGE/SIDRA (tabelas 5938 e 6579)
