# Grupos analíticos da PEVS (process/process_pevs.py), um por categoria do SIDRA.
# A linha casa por tipo_atividade + cod_categoria (código interno do SIDRA, estável);
# a coluna produto é só referência: o rótulo muda (em 2025 o IBGE renumerou as espécies
# da silvicultura e passou a omitir o " - " nos produtos novos).
#
# Só o nível "produto" recebe grupo, para a soma por grupo não contar a mesma produção
# duas vezes: o valor das linhas com grupo fecha com o Total do IBGE.
#   produto   nível mais detalhado que existe na série inteira (2004-2025);
#             na área plantada (tabela 5930), cada espécie
#   agregado  subtotal do IBGE, igual à soma de outras linhas: sem grupo
#   especie   abertura de um produto da silvicultura por espécie, só desde 2013
#             (acácia negra, cedro australiano, mogno africano e teca desde 2025): sem grupo
#   contagem  a mesma extração de outra linha, contada em árvores: sem grupo
# Código que aparecer nos dados sem linha aqui fica sem grupo e vai para os avisos do
# manifesto (data/manifests/pevs_municipio.json).
tipo_atividade;cod_categoria;produto;nivel;grupo;observacao
# Silvicultura (tabela 291)
Silvicultura;3455;1.1 - Carvão vegetal;produto;carvao_vegetal;
Silvicultura;83420;1.1.1 - Carvão vegetal de acácia negra;especie;;espécie de 1.1, desde 2025
Silvicultura;83421;1.1.2 - Carvão vegetal de cedro australiano;especie;;espécie de 1.1, desde 2025
Silvicultura;33247;1.1.3 - Carvão vegetal de eucalipto;especie;;espécie de 1.1, desde 2013
Silvicultura;83422;1.1.4 - Carvão vegetal de mogno africano;especie;;espécie de 1.1, desde 2025
Silvicultura;33248;1.1.5 - Carvão vegetal de pinus;especie;;espécie de 1.1, desde 2013
Silvicultura;83423;1.1.6 - Carvão vegetal de teca;especie;;espécie de 1.1, desde 2025
Silvicultura;33249;1.1.7 - Carvão vegetal de outras espécies;especie;;espécie de 1.1, desde 2013
Silvicultura;3456;1.2 - Lenha;produto;lenha;
Silvicultura;83424;1.2.1 - Lenha de acácia negra;especie;;espécie de 1.2, desde 2025
Silvicultura;83425;1.2.2 - Lenha de cedro australiano;especie;;espécie de 1.2, desde 2025
Silvicultura;33250;1.2.3 - Lenha de eucalipto;especie;;espécie de 1.2, desde 2013
Silvicultura;83426;1.2.4 - Lenha de mogno africano;especie;;espécie de 1.2, desde 2025
Silvicultura;33251;1.2.5 - Lenha de pinus;especie;;espécie de 1.2, desde 2013
Silvicultura;83427;1.2.6 - Lenha de teca;especie;;espécie de 1.2, desde 2025
Silvicultura;33252;1.2.7 - Lenha de outras espécies;especie;;espécie de 1.2, desde 2013
Silvicultura;3457;1.3 - Madeira em tora;agregado;;soma de 1.3.1 e 1.3.2
Silvicultura;3458;1.3.1 - Madeira em tora para papel e celulose;produto;madeira_tora_papel_celulose;
Silvicultura;83428;1.3.1.1 - Madeira em tora de acácia negra para papel e celulose;especie;;espécie de 1.3.1, desde 2025
Silvicultura;83429;1.3.1.2 - Madeira em tora de cedro australiano para papel e celulose;especie;;espécie de 1.3.1, desde 2025
Silvicultura;33253;1.3.1.3 - Madeira em tora de eucalipto para papel e celulose;especie;;espécie de 1.3.1, desde 2013
Silvicultura;83430;1.3.1.4 - Madeira em tora de mogno africano para papel e celulose;especie;;espécie de 1.3.1, desde 2025
Silvicultura;33254;1.3.1.5 - Madeira em tora de pinus para papel e celulose;especie;;espécie de 1.3.1, desde 2013
Silvicultura;83431;1.3.1.6 - Madeira em tora de Teca para papel e celulose;especie;;espécie de 1.3.1, desde 2025
Silvicultura;33255;1.3.1.7 - Madeira em tora de outras espécies para papel e celulose;especie;;espécie de 1.3.1, desde 2013
Silvicultura;3459;1.3.2 - Madeira em tora para outras finalidades;produto;madeira_tora_outros_fins;
Silvicultura;83432;1.3.2.1 - Madeira em tora de acácia negra para outras finalidades;especie;;espécie de 1.3.2, desde 2025
Silvicultura;83433;1.3.2.2 - Madeira em tora de cedro australiano para outras finalidades;especie;;espécie de 1.3.2, desde 2025
Silvicultura;33256;1.3.2.3 - Madeira em tora de eucalipto para outras finalidades;especie;;espécie de 1.3.2, desde 2013
Silvicultura;83434;1.3.2.4 - Madeira em tora de mogno africano para outras finalidades;especie;;espécie de 1.3.2, desde 2025
Silvicultura;33257;1.3.2.5 - Madeira em tora de pinus para outras finalidades;especie;;espécie de 1.3.2, desde 2013
Silvicultura;83435;1.3.2.6 - Madeira em tora de Teca para outras finalidades;especie;;espécie de 1.3.2, desde 2025
Silvicultura;33258;1.3.2.7 - Madeira em tora de outras espécies para outras finalidades;especie;;espécie de 1.3.2, desde 2013
Silvicultura;3460;2 - Outros produtos;agregado;;soma de 2.1, 2.2 e 2.3
Silvicultura;3461;2.1 - Acácia-negra (casca);produto;outros_produtos_silvicultura;
Silvicultura;3462;2.2 - Eucalipto (folha);produto;outros_produtos_silvicultura;
Silvicultura;3463;2.3 - Resina;produto;outros_produtos_silvicultura;
# Extração vegetal (tabela 289) — floresta nativa
Extracao;3402;1 - Alimentícios;agregado;;soma dos itens 1.x
Extracao;3403;1.1 - Açaí (fruto);produto;extracao_nao_madeireira;
